Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,30,1986,28.7,5,1,0,25,28,1,3,90,32,0,0,0,Matches
Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,26,1990,14.7,3,0,0,34,28,0,2,33,26,0,0,0,Matches
René Adler\Rene-Adler,de GER,GK,Hamburger SV,31,1985,19,1,0,0,0,3,0,0,1,0,0,1,0,Matches
David Alaba\David-Alaba,at AUT,DF,Bayern Munich,24,1992,27.8,1,0,0,15,11,7,85,64,27,0,0,0,Matches
Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,25,1991,25.4,4,0,0,39,28,2,42,129,57,0,0,0,Matches
Sami Allagui\Sami-Allagui,tn TUN,FWMF,Hertha BSC,30,1986,2,2,0,0,5,2,3,2,1,2,0,0,0,Matches
Allan\Allan,br BRA,MF,Hertha BSC,19,1997,8.9,3,0,0,14,11,0,4,36,19,0,0,0,Matches
Xabi Alonso\Xabi-Alonso,es ESP,MF,Bayern Munich,34,1981,21.1,6,0,0,30,28,0,44,63,43,0,1,0,Matches
Halil Alt?ntop\Halil-Altintop,tr TUR,MF,Augsburg,33,1982,17.8,1,0,0,14,32,4,24,18,16,0,0,0,Matches
Hamit Alt?ntop\Hamit-Altintop,tr TUR,MF,Darmstadt 98,33,1982,15.1,3,0,0,14,16,0,9,44,37,0,1,0,Matches
Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,19,1996,22.1,2,0,0,43,47,5,24,36,22,0,0,0,Matches
Dennis Aogo\Dennis-Aogo,de GER,MFDF,Schalke 04,29,1987,3.2,1,0,0,5,2,0,11,7,5,0,0,0,Matches
Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,27,1989,20.2,8,2,1,36,40,0,15,71,33,1,0,0,Matches
Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,22,1994,26.9,9,0,0,51,88,1,52,52,30,0,0,0,Matches
Bar?? Atik\Baris-Atik,de GER,MF,Hoffenheim,21,1995,0.8,0,0,0,1,3,0,1,2,1,0,0,0,Matches
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Dortmund,27,1989,30.9,3,0,0,22,21,30,25,11,11,0,0,0,Matches
Donis Avdijaj\Donis-Avdijaj,xk KVX,MF,Schalke 04,19,1996,3.3,1,0,0,4,1,2,8,2,2,0,0,0,Matches
Florian Baak\Florian-Baak,de GER,DF,Hertha BSC,17,1999,0.2,0,0,0,2,0,0,0,0,0,0,0,0,Matches
Holger Badstuber\Holger-Badstuber,de GER,DF,Schalke 04,27,1989,9.6,1,0,0,9,4,0,2,27,7,0,0,0,Matches
Holger Badstuber\Holger-Badstuber,de GER,DF,Bayern Munich,27,1989,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nabil Bahoui\Nabil-Bahoui,se SWE,MF,Hamburger SV,25,1991,0.7,0,0,0,2,1,0,3,2,1,0,0,0,Matches
Daniel Baier\Daniel-Baier,de GER,MF,Augsburg,32,1984,26.6,5,0,0,38,55,2,38,106,52,0,0,0,Matches
Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,18,1997,1.6,1,0,0,2,4,1,7,3,1,1,0,0,Matches
Leon Balogun\Leon-Balogun,ng NGA,DF,Mainz 05,28,1988,11.4,3,0,0,12,14,0,2,45,17,0,0,0,Matches
Patrick Banggaard\Patrick-Banggaard,dk DEN,DF,Darmstadt 98,22,1994,9,4,0,0,12,2,0,0,12,7,0,0,0,Matches
Philipp Bargfrede\Philipp-Bargfrede,de GER,MF,Werder Bremen,27,1989,5.1,3,0,0,9,9,0,0,24,8,0,1,0,Matches
Aymen Barkok\Aymen-Barkok,ma MAR,MF,Eint Frankfurt,18,1998,7.3,1,0,0,25,5,0,1,21,21,0,0,0,Matches
Fin Bartels\Fin-Bartels,de GER,FWMF,Werder Bremen,29,1987,24.7,4,0,0,29,45,7,22,26,27,2,0,0,Matches
Marc Bartra\Marc-Bartra,es ESP,DF,Dortmund,25,1991,17.3,5,0,0,0,19,1,3,60,36,0,0,0,Matches
Robert Bauer\Robert-Bauer,de GER,DFMF,Werder Bremen,21,1995,23.6,5,0,0,34,36,0,28,63,54,0,0,1,Matches
Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,26,1990,34,1,0,0,0,8,0,1,1,0,0,0,0,Matches
Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,Leverkusen,28,1988,17.3,1,0,0,20,20,1,1,47,41,0,0,1,Matches
Riechedly Bazoer\Riechedly-Bazoer,nl NED,MF,Wolfsburg,19,1996,10.8,5,0,0,22,11,1,3,14,11,0,0,0,Matches
Stefan Bell\Stefan-Bell,de GER,DF,Mainz 05,24,1991,30.5,10,2,1,38,21,2,1,91,39,0,1,0,Matches
Karim Bellarabi\Karim-Bellarabi,de GER,MF,Leverkusen,26,1990,12.4,4,0,0,27,16,11,38,13,16,0,0,0,Matches
Änis Ben-Hatira\Anis-Ben-Hatira,tn TUN,MF,Darmstadt 98,28,1988,6.5,3,0,0,12,13,7,15,8,5,0,0,0,Matches
Diego Benaglio\Diego-Benaglio,ch SUI,GK,Wolfsburg,32,1983,14,1,0,0,0,2,0,0,0,0,0,1,0,Matches
Lars Bender\Lars-Bender,de GER,MFDF,Leverkusen,27,1989,6.7,4,0,0,16,11,0,5,19,29,0,0,0,Matches
Sven Bender\Sven-Bender,de GER,DF,Dortmund,27,1989,3,0,0,0,3,2,0,0,6,7,0,0,0,Matches
