Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Valencia,26,1989,9.8,4,0,0,16,4,0,2,34,11,0,2,0,Matches
Antonio Adán\Antonio-Adan,es ESP,GK,Betis,29,1987,37,5,0,0,0,3,0,0,5,1,0,1,0,Matches
Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,35,1981,26.9,8,2,1,38,58,18,23,4,10,2,0,0,Matches
Akram Afif\Akram-Afif,qa QAT,MF,Sporting Gijón,19,1996,2.6,2,0,0,3,9,1,4,2,7,0,0,0,Matches
Rachid Aït-Atmane\Rachid-Ait-Atmane,dz ALG,MF,Sporting Gijón,23,1993,5.5,3,0,0,7,12,0,4,6,10,0,0,0,Matches
Javi Álamo\Javi-Alamo,es ESP,FWMF,Osasuna,27,1988,0.2,0,0,0,1,1,0,0,1,1,0,0,0,Matches
Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,27,1989,21.9,4,0,0,21,16,8,21,29,27,1,0,0,Matches
Raúl Albentosa\Raul-Albentosa,es ESP,DF,La Coruña,27,1988,26,10,1,0,31,10,2,5,43,23,1,1,1,Matches
Paco Alcácer\Paco-Alcacer,es ESP,FW,Valencia,22,1993,1,0,0,0,1,0,2,0,1,0,0,0,0,Matches
Paco Alcácer\Paco-Alcacer,es ESP,FW,Barcelona,22,1993,9.6,1,0,0,9,7,5,5,5,1,0,0,0,Matches
Álex Alegría\Alex-Alegria,es ESP,FW,Betis,23,1992,16,2,0,0,41,54,9,4,5,5,0,0,0,Matches
Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,18,1998,0.5,1,0,0,2,0,0,0,1,0,0,0,0,Matches
Alexander\Alexander,ar ARG,MF,Leganés,27,1988,22.5,1,0,0,21,29,14,97,24,28,0,0,0,Matches
Alexis\Alexis,es ESP,DF,Alavés,30,1985,20.2,11,2,1,18,9,3,1,31,15,0,1,1,Matches
Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,29,1986,26,0,0,0,0,3,0,0,1,1,0,0,0,Matches
Sergio Álvarez\Sergio-Alvarez,es ESP,MF,Sporting Gijón,24,1992,33.4,9,0,0,83,46,0,20,69,84,0,1,0,Matches
Víctor Álvarez\Victor-Alvarez,es ESP,DF,Espanyol,23,1993,2.3,2,0,0,4,3,0,5,6,8,0,0,0,Matches
Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,21,1995,25.3,3,0,0,53,28,1,8,99,47,1,0,0,Matches
Diego Alves\Diego-Alves,br BRA,GK,Valencia,31,1985,33,4,0,0,0,3,0,0,1,0,0,1,1,Matches
Fernando Amorebieta\Fernando-Amorebieta,ve VEN,DF,Sporting Gijón,31,1985,24.6,17,0,0,50,22,3,8,70,28,0,2,0,Matches
Jon Ander Serantes\Jon-Ander-Serantes,es ESP,GK,Leganés,26,1989,12.3,2,0,0,0,1,0,0,1,0,0,0,0,Matches
Florin Andone\Florin-Andone,ro ROU,FW,La Coruña,23,1993,32.3,6,0,0,93,37,34,22,4,18,2,0,0,Matches
Victorien Angban\Victorien-Angban,ci CIV,MF,Granada,19,1996,7.5,4,0,0,14,4,0,3,17,19,0,0,0,Matches
Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,Leganés,26,1990,24,3,0,0,66,28,19,5,8,10,1,0,0,Matches
Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Atlético Madrid,32,1984,8.6,0,0,0,0,4,0,0,0,0,0,0,0,Matches
José Ángel\Jose-Angel,es ESP,DF,Villarreal,26,1989,7,2,0,0,6,4,0,28,16,19,0,0,0,Matches
José Antonio Reyes\Jose-Antonio-Reyes,es ESP,MFFW,Espanyol,32,1983,9.6,1,0,0,14,29,2,48,6,10,0,0,0,Matches
Sergio Araujo\Sergio-Araujo,ar ARG,FW,Las Palmas,24,1992,6,2,0,0,11,6,5,3,5,5,0,0,0,Matches
Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,29,1987,17.5,5,0,0,15,11,0,57,51,34,0,0,0,Matches
Markel Areitio\Markel-Areitio,es ESP,GK,Eibar,19,1996,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alejandro Arribas\Alejandro-Arribas,es ESP,DF,La Coruña,27,1989,21.3,7,0,0,29,23,0,1,36,33,0,0,0,Matches
Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Athletic Club,21,1994,22.4,1,0,0,0,4,0,0,2,0,0,0,0,Matches
Aythami Artiles\Aythami-Artiles,es ESP,DF,Las Palmas,30,1986,9.3,4,2,1,16,5,0,0,20,7,0,0,1,Matches
Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,27,1989,23.4,0,0,0,0,8,0,0,3,1,0,0,0,Matches
Marco Asensio\Marco-Asensio,es ESP,FWMF,Real Madrid,20,1996,12,0,0,0,15,15,5,28,11,22,0,0,0,Matches
Iago Aspas\Iago-Aspas,es ESP,FWMF,Celta Vigo,28,1987,25.7,9,2,1,26,71,12,25,12,16,2,0,0,Matches
Omer Atzili\Omer-Atzili,il ISR,MF,Granada,23,1993,4.1,0,0,0,3,7,1,14,3,4,1,0,0,Matches
Ryan Babel\Ryan-Babel,nl NED,MFFW,La Coruña,29,1986,6.3,3,0,0,14,5,5,11,7,6,0,0,0,Matches
Jean-Sylvain Babin\Jean-Sylvain-Babin,mq MTQ,DF,Sporting Gijón,29,1986,19,2,0,0,9,12,4,0,24,14,0,0,0,Matches
Cédric Bakambu\Cedric-Bakambu,cd COD,FW,Villarreal,25,1991,17.4,5,0,0,42,28,17,6,3,9,0,0,0,Matches
Zakaria Bakkali\Zakaria-Bakkali,be BEL,FW,Valencia,20,1996,3.4,2,0,0,5,12,1,16,2,3,1,0,0,Matches
Gareth Bale\Gareth-Bale,wal WAL,FW,Real Madrid,27,1989,15.8,3,1,0,9,16,14,66,17,13,0,0,0,Matches
Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,28,1988,31.6,3,1,0,20,27,1,101,37,59,0,0,0,Matches
Léo Baptistão\Leo-Baptistao,br BRA,FWMF,Espanyol,23,1992,15.9,1,0,0,19,42,3,21,12,16,0,0,0,Matches
David Barral\David-Barral,es ESP,FW,Granada,33,1983,3.5,1,0,0,13,7,1,9,8,6,0,0,0,Matches
Diego Barrios\Diego-Barrios,es ESP,GK,Leganés,22,1994,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jon Bautista\Jon-Bautista,es ESP,FW,Real Sociedad,21,1995,3.6,0,0,0,6,3,3,1,0,8,0,0,0,Matches
Claudio Beauvue\Claudio-Beauvue,GPE,FW,Celta Vigo,28,1988,7.4,1,0,0,11,19,3,6,3,3,0,0,0,Matches
Bebé\Bebe,pt POR,MFFW,Eibar,26,1990,7.7,2,0,0,11,6,2,71,11,9,0,0,0,Matches
Wissam Ben Yedder\Wissam-Ben-Yedder,fr FRA,FW,Sevilla,25,1990,18.4,0,0,0,11,13,31,14,7,11,1,0,0,Matches
Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,28,1987,21.1,0,0,0,12,10,18,12,3,14,0,0,0,Matches
Yuri Berchiche\Yuri-Berchiche,es ESP,DF,Real Sociedad,26,1990,34.3,9,0,0,41,43,3,128,62,50,1,0,0,Matches
Álex Berenguer\Alex-Berenguer,es ESP,DFMF,Osasuna,21,1995,24.2,3,0,0,28,35,2,77,53,52,0,1,0,Matches
Álex Bergantiños\Alex-Bergantinos,es ESP,MFDF,La Coruña,31,1985,6.2,2,0,0,8,2,0,1,9,13,0,0,0,Matches
Markel Bergara\Markel-Bergara,es ESP,MF,Real Sociedad,30,1986,3.2,0,0,0,5,9,2,0,5,5,0,0,0,Matches
Pedro Bigas\Pedro-Bigas,es ESP,DF,Las Palmas,25,1990,29.4,5,2,1,17,30,3,4,87,19,0,1,0,Matches
Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,21,1995,11,2,0,0,0,1,0,0,1,0,0,0,0,Matches
Kevin-Prince Boateng\Kevin-Prince-Boateng,gh GHA,FWMF,Las Palmas,29,1987,22,11,3,1,56,69,33,19,19,16,0,2,0,Matches
Jeremie Boga\Jeremie-Boga,ci CIV,MFFW,Granada,19,1997,16.3,0,0,0,3,29,4,10,3,6,0,0,0,Matches
Daniele Bonera\Daniele-Bonera,it ITA,DF,Villarreal,35,1981,6,2,0,0,7,7,0,1,8,4,0,0,0,Matches
Theo Bongonda\Theo-Bongonda,be BEL,MFFW,Celta Vigo,20,1995,24,3,0,0,14,37,24,56,15,21,0,0,0,Matches
Tano Bonnín\Tano-Bonnin,do DOM,DF,Osasuna,26,1990,8.2,2,2,1,14,8,0,10,24,9,0,0,0,Matches
Celso Borges\Celso-Borges,cr CRC,MF,La Coruña,28,1988,30.1,5,0,0,30,29,1,6,64,44,1,1,0,Matches
Rafael Borré\Rafael-Borre,co COL,FW,Villarreal,20,1995,4.1,0,0,0,2,7,2,5,1,6,1,0,0,Matches
Eneko Bóveda\Eneko-Boveda,es ESP,DF,Athletic Club,27,1988,17.3,1,0,0,14,13,1,13,46,36,0,2,0,Matches
Denys Boyko\Denys-Boyko,ua UKR,GK,Málaga,28,1988,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Darko Brašanac\Darko-Brasanac,rs SRB,MF,Betis,24,1992,18.6,7,0,0,54,22,3,8,14,34,0,0,0,Matches
Claudio Bravo\Claudio-Bravo,cl CHI,GK,Barcelona,33,1983,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alberto Brignoli\Alberto-Brignoli,it ITA,GK,Leganés,24,1991,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alberto Bueno\Alberto-Bueno,es ESP,FWMF,Leganés,28,1988,4.3,0,0,0,7,7,0,11,3,2,0,0,0,Matches
Alberto Bueno\Alberto-Bueno,es ESP,MF,Granada,28,1988,6.3,0,0,0,5,15,0,14,2,5,0,0,0,Matches
Aitor Buñuel\Aitor-Bunuel,es ESP,DFMF,Osasuna,18,1998,11.5,3,0,0,18,7,0,32,24,29,0,0,0,Matches
Burgui\Burgui,es ESP,MFFW,Sporting Gijón,22,1993,22,6,0,0,20,58,14,59,13,26,2,0,0,Matches
Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,28,1988,29.8,9,0,0,41,35,1,0,50,56,0,0,0,Matches
Unai Bustinza\Unai-Bustinza,es ESP,DF,Leganés,24,1992,19.9,10,0,0,43,19,1,26,62,40,0,1,0,Matches
Gustavo Cabral\Gustavo-Cabral,ar ARG,DF,Celta Vigo,30,1985,24.2,6,0,0,30,20,2,3,57,43,0,2,0,Matches
Felipe Caicedo\Felipe-Caicedo,ec ECU,FW,Espanyol,27,1988,14.2,4,2,1,55,17,19,0,2,18,1,0,0,Matches
Ignacio Camacho\Ignacio-Camacho,es ESP,MF,Málaga,26,1990,34.9,15,0,0,93,63,6,11,114,87,0,1,0,Matches
Víctor Camarasa\Victor-Camarasa,es ESP,MF,Alavés,22,1994,27.6,4,0,0,30,28,9,32,12,23,0,0,0,Matches
Sergio Canales\Sergio-Canales,es ESP,MFFW,Real Sociedad,25,1991,11.2,2,0,0,17,10,3,63,7,23,0,0,0,Matches
João Cancelo\Joao-Cancelo,pt POR,DFMF,Valencia,22,1994,27,6,2,1,36,46,5,97,61,65,0,1,0,Matches
Roberto Canella\Roberto-Canella,es ESP,DF,Sporting Gijón,28,1988,19.5,4,0,0,15,13,1,48,24,27,0,0,0,Matches
Aitor Cantalapiedra\Aitor-Cantalapiedra,es ESP,FWMF,Villarreal,20,1996,0.1,0,0,0,1,0,0,0,0,0,0,0,0,Matches
Ander Capa\Ander-Capa,es ESP,DF,Eibar,24,1992,28.4,9,2,1,41,26,1,110,65,56,0,1,0,Matches
Mehdi Carcela\Mehdi-Carcela,ma MAR,MFFW,Granada,27,1989,19.4,6,0,0,22,37,5,52,22,21,0,0,0,Matches
José Carlos\Jose-Carlos,es ESP,DF,Betis,20,1996,5.5,0,0,0,6,1,0,0,14,11,0,0,0,Matches
Carlos Carmona\Carlos-Carmona,es ESP,MFFW,Sporting Gijón,29,1987,20.6,5,0,0,59,34,13,96,23,42,1,0,0,Matches
Yannick Carrasco\Yannick-Carrasco,be BEL,MFFW,Atlético Madrid,22,1993,25.6,5,0,0,30,50,9,75,18,19,1,0,0,Matches
Daniel Carriço\Daniel-Carrico,pt POR,DF,Sevilla,27,1988,5,2,0,0,14,2,0,1,11,3,0,0,0,Matches
Federico Cartabia\Federico-Cartabia,ar ARG,MFFW,Valencia,23,1993,1.7,0,0,0,6,5,0,1,2,10,0,0,0,Matches
Dani Carvajal\Dani-Carvajal,es ESP,DF,Real Madrid,24,1992,22.4,11,0,0,27,24,2,75,45,41,1,0,0,Matches
Casemiro\Casemiro,br BRA,MF,Real Madrid,24,1992,18.9,9,0,0,55,45,2,3,43,71,0,0,0,Matches
Nacho Cases\Nacho-Cases,es ESP,MF,Sporting Gijón,28,1987,16.3,5,0,0,28,28,0,16,22,20,0,0,0,Matches
Kiko Casilla\Kiko-Casilla,es ESP,GK,Real Madrid,29,1986,11,0,0,0,0,0,0,0,0,1,0,0,0,Matches
Dani Castellano\Dani-Castellano,es ESP,DF,Las Palmas,28,1987,23.4,2,0,0,13,36,0,32,42,43,1,1,0,Matches
Javi Castellano\Javi-Castellano,es ESP,DFMF,Las Palmas,28,1987,1.1,0,0,0,2,1,0,2,2,3,0,0,0,Matches
Samu Castillejo\Samu-Castillejo,es ESP,MF,Villarreal,21,1995,22.7,2,0,0,38,78,2,93,47,27,0,0,0,Matches
Carlos Castro\Carlos-Castro,es ESP,FW,Sporting Gijón,21,1995,11.4,1,0,0,16,14,3,1,1,6,0,0,0,Matches
Chory Castro\Chory-Castro,uy URU,MFFW,Málaga,31,1984,19.9,5,2,1,24,26,1,142,18,17,0,0,0,Matches
Jonny Castro\Jonny-Castro,es ESP,DF,Celta Vigo,22,1994,24.7,8,0,0,28,19,3,23,65,53,0,0,0,Matches
Rubén Castro\Ruben-Castro,es ESP,FW,Betis,35,1981,30.9,3,0,0,8,38,33,35,11,4,0,0,0,Matches
Goran ?auši?\Goran-Causic,rs SRB,MF,Osasuna,24,1992,22.3,4,0,0,37,19,0,16,29,25,0,0,0,Matches
Dani Ceballos\Dani-Ceballos,es ESP,MF,Betis,19,1996,26,8,0,0,51,116,0,37,53,66,0,0,0,Matches
Álvaro Cejudo\Alvaro-Cejudo,es ESP,MFFW,Betis,32,1984,9.1,9,0,0,21,12,1,39,20,23,0,0,0,Matches
Alessio Cerci\Alessio-Cerci,it ITA,FWMF,Atlético Madrid,29,1987,0.2,0,0,0,0,0,0,1,0,0,0,0,0,Matches
Nereo Champagne\Nereo-Champagne,ar ARG,GK,Leganés,31,1985,4,1,0,0,0,0,0,0,0,0,0,0,0,Matches
Charles\Charles,br BRA,FW,Málaga,32,1984,12.7,5,0,0,16,24,15,2,3,4,0,2,0,Matches
Pape Cheikh Diop\Pape-Cheikh-Diop,sn SEN,MFFW,Celta Vigo,18,1997,6.4,3,0,0,24,18,0,0,4,13,0,0,0,Matches
Denis Cheryshev\Denis-Cheryshev,ru RUS,MF,Villarreal,25,1990,3.8,1,0,0,12,6,0,7,5,4,0,0,0,Matches
