Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Dijon,28,1987,14.6,3,0,0,21,8,1,1,42,36,0,1,0,Matches
2,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,23,1992,26.4,8,0,0,56,41,0,56,46,67,0,0,0,Matches
3,Geoffrey Acheampong\Geoffrey-Acheampong,gh GHA,MF,Bastia,19,1997,0.1,0,0,0,1,0,1,0,0,1,0,0,0,Matches
4,Jordan Adéoti\Jordan-Adeoti,bj BEN,DF,Caen,27,1989,23.6,3,0,0,27,22,0,12,54,37,0,2,0,Matches
5,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Nancy,20,1996,21.4,3,0,0,25,27,1,10,32,31,0,0,0,Matches
6,Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,DFMF,Toulouse,23,1992,0.8,1,0,0,4,3,0,2,0,4,0,0,0,Matches
7,Alexis Alegue\Alexis-Alegue,fr FRA,FW,Nantes,19,1996,0.2,0,0,0,0,2,0,1,0,0,0,0,0,Matches
8,Romain Alessandrini\Romain-Alessandrini,fr FRA,FWMF,Marseille,27,1989,2.7,1,0,0,3,1,1,17,1,1,0,0,0,Matches
9,Jérémie Aliadière\Jeremie-Aliadiere,fr FRA,FW,Lorient,33,1983,5.4,0,0,0,10,5,8,18,2,2,0,0,0,Matches
10,Júnior Alonso\Junior-Alonso,py PAR,DF,Lille,23,1993,10.7,1,0,0,12,3,1,1,26,11,0,0,1,Matches
11,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Lille,23,1993,32.8,4,0,0,39,21,0,8,60,58,0,0,0,Matches
12,Morgan Amalfitano\Morgan-Amalfitano,fr FRA,MFFW,Lille,31,1985,8.1,0,0,0,10,9,0,27,8,5,0,0,0,Matches
13,Morgan Amalfitano\Morgan-Amalfitano,fr FRA,MF,Rennes,31,1985,4.5,0,0,0,7,4,0,29,7,4,0,0,0,Matches
14,Romain Amalfitano\Romain-Amalfitano,fr FRA,MF,Dijon,26,1989,15.8,2,0,0,18,17,1,21,37,30,0,0,0,Matches
15,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,18,1998,19.7,1,0,0,16,10,1,45,26,36,0,1,0,Matches
16,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,25,1990,35.7,6,0,0,58,63,2,18,72,85,0,2,0,Matches
17,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,27,1989,15.2,3,0,0,11,13,2,41,33,19,0,0,0,Matches
18,Benjamin Angoua\Benjamin-Angoua,ci CIV,DF,Guingamp,29,1986,6,0,0,0,12,4,0,1,13,6,0,0,0,Matches
19,Houssem Aouar\Houssem-Aouar,fr FRA,FW,Lyon,18,1998,1.4,0,0,0,0,1,0,0,2,1,0,0,0,Matches
20,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Bordeaux,20,1995,0.4,0,0,0,1,1,0,0,2,1,0,0,0,Matches
21,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,23,1993,14.4,0,0,0,0,2,0,0,3,2,0,0,0,Matches
22,Fernando Aristeguieta\Fernando-Aristeguieta,ve VEN,FW,Nantes,24,1992,0.6,0,0,0,1,0,0,0,2,1,0,0,0,Matches
23,Sylvain Armand\Sylvain-Armand,fr FRA,DF,Rennes,35,1980,0.7,0,0,0,0,0,0,0,5,0,0,0,0,Matches
24,Benoît Assou-Ekotto\Benoit-Assou-Ekotto,cm CMR,DF,Metz,32,1984,16.4,1,3,1,17,20,2,38,46,14,0,1,0,Matches
25,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,Paris S-G,19,1997,2.2,0,0,0,2,2,4,1,2,0,0,0,0,Matches
26,Serge Aurier\Serge-Aurier,ci CIV,DF,Paris S-G,23,1992,20.3,4,2,1,19,19,6,110,36,33,1,1,1,Matches
27,Ludovic Baal\Ludovic-Baal,gf GUF,DFMF,Rennes,30,1986,32,3,1,0,32,19,4,69,50,70,1,0,0,Matches
28,Loic Badiashile\Loic-Badiashile,fr FRA,GK,Monaco,18,1998,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
29,Tobias Badila\Tobias-Badila,cg CGO,DF,Nancy,23,1993,25,7,0,0,30,17,3,38,64,57,0,0,1,Matches
30,Dylan Bahamboula\Dylan-Bahamboula,cg CGO,FW,Dijon,21,1995,5.8,1,0,0,8,4,2,13,3,2,0,0,0,Matches
