Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,29,1986,21.4,2,0,0,22,9,2,52,33,45,0,2,0,Matches
Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Sassuolo,28,1988,38,2,0,0,15,39,3,6,103,47,0,1,0,Matches
Maxwell Acosty\Maxwell-Acosty,gh GHA,MFFW,Crotone,24,1991,4.2,2,0,0,10,9,1,3,5,3,0,0,0,Matches
Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Torino,24,1992,12,5,6,3,24,16,1,10,25,14,0,0,0,Matches
Claud Adjapong\Claud-Adjapong,it ITA,DFFW,Sassuolo,18,1998,5.7,3,0,0,9,6,0,15,14,8,0,1,0,Matches
Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,DFMF,Udinese,22,1993,9.7,2,0,0,14,11,1,53,15,13,0,2,0,Matches
Luiz Adriano\Luiz-Adriano,br BRA,FW,Milan,29,1987,1.4,0,0,0,4,4,1,1,2,0,0,0,0,Matches
Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MF,Udinese,25,1990,22.6,2,0,0,27,40,2,37,40,21,0,1,0,Matches
Arlind Ajeti\Arlind-Ajeti,al ALB,DF,Torino,22,1993,2.8,1,0,0,8,3,0,0,3,3,0,0,1,Matches
Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,23,1992,4.1,0,0,0,2,3,1,34,5,2,0,0,0,Matches
Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,30,1985,25.5,8,0,0,22,12,1,4,22,24,0,1,0,Matches
Haitam Aleesami\Haitam-Aleesami,no NOR,MFDF,Palermo,25,1991,29.2,6,0,0,38,19,5,98,45,39,0,1,0,Matches
Allan\Allan,br BRA,MF,Napoli,25,1991,17.9,3,0,0,25,31,0,23,24,51,0,0,0,Matches
Marcos Alonso\Marcos-Alonso,es ESP,MF,Fiorentina,25,1990,2,0,0,0,4,2,0,4,2,3,0,0,0,Matches
Ricky Álvarez\Ricky-Alvarez,ar ARG,MF,Sampdoria,28,1988,11,3,1,0,24,20,0,70,14,12,0,0,0,Matches
Bruno Alves\Bruno-Alves,pt POR,DF,Cagliari,34,1981,36,5,1,0,44,15,2,9,70,21,0,1,0,Matches
Dani Alves\Dani-Alves,br BRA,DFMF,Juventus,33,1983,15.1,5,0,0,27,21,3,71,31,31,0,0,0,Matches
