Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,31,1986,25.6,3,0,0,11,20,0,6,23,28,0,0,1,378,62,26,70.5,Matches
Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,27,1990,9.4,2,0,0,20,27,0,4,11,26,0,0,0,137,21,19,52.5,Matches
René Adler\Rene-Adler,de GER,GK,Mainz 05,32,1985,14,0,0,0,1,3,0,0,0,0,0,1,0,79,0,1,0,Matches
Ailton\Ailton,br BRA,DFFW,Stuttgart,22,1995,1.2,0,0,0,1,3,0,4,1,2,0,0,0,7,2,3,40,Matches
Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,22,1995,10,2,0,0,10,5,0,2,7,12,0,0,0,105,17,17,50,Matches
Chadrac Akolo\Chadrac-Akolo,cd COD,FWMF,Stuttgart,22,1995,12.2,2,0,0,13,13,9,18,7,10,0,0,0,67,9,21,30,Matches
Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,22,1995,18.8,1,0,0,22,19,1,6,24,29,0,0,1,172,31,28,52.5,Matches
David Alaba\David-Alaba,at AUT,DF,Bayern Munich,25,1992,17.2,1,0,0,9,6,2,72,10,15,0,0,0,170,15,15,50,Matches
Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,24,1992,17.2,4,1,0,40,42,14,8,6,10,1,0,0,67,48,79,37.8,Matches
Miiko Albornoz\Miiko-Albornoz,cl CHI,DF,Hannover 96,26,1990,7.8,1,0,0,10,14,0,16,5,13,0,0,0,73,14,18,43.8,Matches
Thiago Alcántara\Thiago-Alcantara,es ESP,MFFW,Bayern Munich,26,1991,13.9,3,0,0,24,15,1,12,20,26,1,0,0,139,17,19,47.2,Matches
Stephan Ambrosius\Stephan-Ambrosius,de GER,DF,Hamburger SV,18,1998,0.5,0,0,0,0,0,1,0,0,1,0,0,0,4,1,2,33.3,Matches
Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,20,1996,19.4,4,0,0,42,38,3,34,17,16,0,0,0,194,9,13,40.9,Matches
Waldemar Anton\Waldemar-Anton,de GER,DFMF,Hannover 96,21,1996,25.3,1,0,0,20,30,0,5,31,35,0,1,0,347,64,38,62.7,Matches
Dennis Aogo\Dennis-Aogo,de GER,MFDF,Stuttgart,30,1987,21.7,5,0,0,33,12,0,45,21,15,0,1,0,203,10,13,43.5,Matches
Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,28,1989,25.6,4,0,0,42,52,1,19,37,51,0,1,0,340,23,27,46,Matches
Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,23,1994,27.3,9,1,0,51,79,3,38,17,41,0,1,0,275,21,30,41.2,Matches
Jann-Fiete Arp\Jann-Fiete-Arp,de GER,FW,Hamburger SV,17,2000,9.4,1,0,0,22,18,3,3,2,5,0,0,0,31,10,52,16.1,Matches
Takuma Asano\Takuma-Asano,jp JPN,FWMF,Stuttgart,22,1994,8,1,0,0,11,8,13,12,4,5,0,0,0,35,5,24,17.2,Matches
Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Stuttgart,20,1997,26.5,11,1,1,34,59,0,5,30,49,1,0,0,411,29,37,43.9,Matches
Simon Asta\Simon-Asta,de GER,MF,Augsburg,16,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Dortmund,28,1989,15.7,1,1,1,17,8,15,19,1,2,1,0,0,49,11,16,40.7,Matches
Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,RB Leipzig,20,1997,14.1,1,0,0,21,42,13,15,5,8,2,0,0,65,15,40,27.3,Matches
Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DFMF,Werder Bremen,23,1994,28.1,3,0,0,29,14,4,74,25,25,0,0,0,237,36,33,52.2,Matches
Yann Aurel Bisseck\Yann-Aurel-Bisseck,de GER,DFFW,Köln,16,2000,1.7,0,0,0,1,1,0,0,0,2,0,0,0,13,4,1,80,Matches
Holger Badstuber\Holger-Badstuber,de GER,DFMF,Stuttgart,28,1989,24.1,2,0,0,22,18,0,2,36,23,0,0,0,316,48,27,64,Matches
Daniel Baier\Daniel-Baier,de GER,MF,Augsburg,33,1984,28.2,6,0,0,45,58,0,18,42,46,0,0,0,519,28,38,42.4,Matches
Leon Bailey\Leon-Bailey,jm JAM,FWDF,Leverkusen,19,1997,24.6,2,0,0,26,31,6,104,13,9,0,0,0,189,19,32,37.3,Matches
Marvin Bakalorz\Marvin-Bakalorz,de GER,MF,Hannover 96,27,1989,22.8,4,0,0,33,55,2,11,24,19,0,0,0,205,30,21,58.8,Matches
Ridle Baku\Ridle-Baku,de GER,MF,Mainz 05,19,1998,2.6,1,0,0,5,4,1,2,2,4,0,0,0,33,2,8,20,Matches
Leon Balogun\Leon-Balogun,ng NGA,DF,Mainz 05,29,1988,13,5,1,1,22,4,0,0,24,23,0,1,0,148,42,19,68.9,Matches
Philipp Bargfrede\Philipp-Bargfrede,de GER,MF,Werder Bremen,28,1989,20.7,5,0,0,42,28,0,2,34,41,0,0,0,269,34,36,48.6,Matches
Aymen Barkok\Aymen-Barkok,ma MAR,MFFW,Eint Frankfurt,19,1998,3.5,1,0,0,6,2,3,3,2,5,0,0,0,30,4,10,28.6,Matches
Fin Bartels\Fin-Bartels,de GER,FW,Werder Bremen,30,1987,12.5,0,0,0,10,15,5,19,3,7,0,0,0,72,6,15,28.6,Matches
Marc Bartra\Marc-Bartra,es ESP,DF,Dortmund,26,1991,9,1,0,0,9,9,1,6,22,12,0,0,0,154,18,11,62.1,Matches
Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Dortmund,23,1993,9.3,2,0,0,16,3,12,1,1,4,0,0,0,35,10,25,28.6,Matches
Robert Bauer\Robert-Bauer,de GER,DF,Werder Bremen,22,1995,10.6,4,0,0,13,11,0,9,11,12,0,0,0,133,6,7,46.2,Matches
Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,27,1990,34,0,0,0,0,6,0,0,0,0,0,0,0,236,0,0,,Matches
Timo Baumgartl\Timo-Baumgartl,de GER,DF,Stuttgart,21,1996,29,4,0,0,40,29,1,9,24,48,0,1,0,336,65,34,65.7,Matches
Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MFDF,Leverkusen,29,1988,15.5,3,0,0,18,26,0,2,21,36,1,0,0,202,17,17,50,Matches
Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,ng NGA,FWMF,Hannover 96,20,1996,1.3,1,0,0,4,5,2,2,2,1,0,0,0,10,4,3,57.1,Matches
Riechedly Bazoer\Riechedly-Bazoer,nl NED,MF,Wolfsburg,20,1996,6.6,2,0,0,11,13,2,3,4,5,1,0,0,68,4,7,36.4,Matches
Ihlas Bebou\Ihlas-Bebou,tg TOG,MFFW,Hannover 96,23,1994,23.8,3,0,0,20,44,9,49,13,25,0,0,0,203,53,47,53,Matches
Andreas Beck\Andreas-Beck,de GER,DFMF,Stuttgart,30,1987,21.4,5,0,0,34,47,1,54,16,25,0,0,0,168,40,44,47.6,Matches
Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,Werder Bremen,25,1992,15,1,0,0,64,15,23,29,0,6,0,0,0,71,74,60,55.2,Matches
Stefan Bell\Stefan-Bell,de GER,DF,Mainz 05,25,1991,24.2,8,0,0,45,20,1,2,32,28,0,0,1,290,56,29,65.9,Matches
Karim Bellarabi\Karim-Bellarabi,de GER,FWMF,Leverkusen,27,1990,12.7,2,0,0,19,22,4,55,6,13,0,0,0,86,2,10,16.7,Matches
Lars Bender\Lars-Bender,de GER,DFMF,Leverkusen,28,1989,17.7,5,0,0,10,23,1,30,15,31,0,0,0,204,35,22,61.4,Matches
Sven Bender\Sven-Bender,de GER,DF,Leverkusen,28,1989,26.1,0,0,0,19,18,2,3,27,30,0,0,0,337,66,56,54.1,Matches
László Bénes\Laszlo-Benes,sk SVK,MF,M'Gladbach,19,1997,0.4,0,0,0,2,1,0,0,1,0,0,0,0,4,0,0,,Matches
Marcel Benger\Marcel-Benger,de GER,MF,M'Gladbach,19,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Charlison Benschop\Charlison-Benschop,cw CUW,MFFW,Hannover 96,27,1989,2,0,0,0,4,1,0,4,2,4,0,0,0,10,4,4,50,Matches
Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Schalke 04,22,1994,11.2,3,1,0,25,7,1,4,11,16,0,0,0,155,10,3,76.9,Matches
Emil Berggreen\Emil-Berggreen,dk DEN,FW,Mainz 05,24,1993,7.4,2,0,0,21,5,2,1,0,4,0,0,0,22,43,54,44.3,Matches
