Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,DF,Strasbourg,19,1999,2.3,3,0,0,6,0,0,5,5,4,0,0,0,22,1,4,20,Matches
2,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,30,1987,38,2,0,0,33,21,1,0,46,35,0,1,1,327,88,47,65.2,Matches
3,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,25,1992,22.5,6,0,0,57,29,1,13,24,40,0,0,0,256,16,14,53.3,Matches
4,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,18,2000,0.4,0,0,0,2,1,0,0,1,4,0,0,0,6,2,1,66.7,Matches
5,Khaled Adénon\Khaled-Adenon,bj BEN,DF,Amiens,33,1985,22.2,7,1,1,33,21,2,0,19,24,0,0,1,249,42,37,53.2,Matches
6,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,18,2000,2.4,1,0,0,4,1,0,7,1,1,0,0,0,21,2,1,66.7,Matches
7,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,22,1996,11.7,4,1,0,20,8,1,1,4,14,0,0,0,90,30,12,71.4,Matches
8,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFMF,Montpellier,25,1993,28.1,8,0,0,38,41,1,81,26,55,0,1,0,269,25,28,47.2,Matches
9,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,24,1994,11.9,2,0,0,26,17,0,2,11,17,0,0,0,119,12,12,50,Matches
10,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Monaco,22,1996,11.9,2,0,0,11,11,0,2,11,24,0,0,0,166,4,9,30.8,Matches
11,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Saint-Étienne,22,1996,10.4,0,0,0,10,9,0,2,9,16,0,0,0,111,5,9,35.7,Matches
12,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,17,2001,0.6,1,0,0,1,1,0,1,0,2,0,1,0,3,0,2,0,Matches
13,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,24,1994,17,5,0,0,45,17,3,8,6,7,1,0,0,63,87,52,62.6,Matches
14,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,20,1998,21.1,4,0,0,29,31,0,26,29,36,0,0,0,202,12,22,35.3,Matches
15,Alexis Alegue\Alexis-Alegue,fr FRA,FW,Nantes,21,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
16,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,23,1995,25,0,0,0,0,4,0,0,0,0,0,0,0,136,0,0,,Matches
17,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Nîmes,26,1992,13.9,1,0,0,11,12,7,23,3,6,0,0,0,79,35,60,36.8,Matches
18,Bobby Allain\Bobby-Allain,fr FRA,GK,Dijon,26,1991,13,1,0,0,1,6,0,0,0,0,0,1,0,78,0,0,,Matches
19,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,29,1989,6.3,0,0,0,8,10,0,15,5,3,0,0,0,71,12,4,75,Matches
20,Dani Alves\Dani-Alves,br BRA,MFDF,Paris S-G,35,1983,18,4,0,0,43,23,4,45,9,29,0,0,0,180,9,11,45,Matches
21,Romain Amalfitano\Romain-Amalfitano,fr FRA,MFFW,Dijon,28,1989,28,3,1,0,43,30,1,17,34,41,0,0,0,252,11,24,31.4,Matches
22,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,24,1994,24.2,7,2,0,47,33,1,62,32,29,0,1,0,303,58,27,68.2,Matches
23,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,20,1998,32,6,0,0,40,11,3,17,23,46,0,0,0,261,36,33,52.2,Matches
24,Yanis Ammour\Yanis-Ammour,fr FRA,MF,Montpellier,19,1999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
25,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,27,1990,27.7,8,1,1,59,48,4,11,37,66,1,0,0,338,116,66,63.7,Matches
26,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,29,1989,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
27,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,20,1998,34,2,0,0,30,53,11,12,31,36,2,0,0,284,8,25,24.2,Matches
28,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,22,1996,8.7,2,1,0,22,9,1,17,1,11,0,0,0,47,2,8,20,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,25,1993,21,1,0,0,0,2,0,0,0,0,0,0,0,84,0,0,,Matches
30,Yoël Armougom\Yoel-Armougom,fr FRA,DFMF,Caen,20,1998,20.6,5,1,1,20,15,1,49,8,18,0,0,0,159,17,12,58.6,Matches
31,Youcef Attal\Youcef-Attal,dz ALG,DFMF,Nice,22,1996,25.1,8,0,0,42,58,9,58,26,33,3,0,0,222,33,31,51.6,Matches
32,Ludovic Baal\Ludovic-Baal,gf GUF,DF,Rennes,32,1986,1.4,0,0,0,0,2,0,3,0,1,0,0,0,24,0,1,0,Matches
33,Stéphane Bahoken\Stephane-Bahoken,cm CMR,FW,Angers,26,1992,27.4,3,0,0,55,37,31,32,5,12,0,0,0,110,27,65,29.3,Matches
34,Fodé Ballo-Touré\Fode-Ballo-Toure,sn SEN,DF,Monaco,21,1997,17.7,4,0,0,17,25,1,62,14,32,0,0,1,152,26,19,57.8,Matches
35,Fodé Ballo-Touré\Fode-Ballo-Toure,sn SEN,DF,Lille,21,1997,17.7,3,0,0,14,30,2,24,15,26,1,1,0,180,30,17,63.8,Matches
36,Florent Balmont\Florent-Balmont,fr FRA,MF,Dijon,38,1980,12,3,0,0,22,22,1,12,4,21,0,0,0,115,1,8,11.1,Matches
37,Mario Balotelli\Mario-Balotelli,it ITA,FW,Nice,27,1990,8.4,5,0,0,19,15,3,5,4,0,0,0,0,31,7,10,41.2,Matches
38,Mario Balotelli\Mario-Balotelli,it ITA,FW,Marseille,27,1990,10.4,5,1,0,24,25,5,1,3,8,0,0,0,30,13,22,37.1,Matches
39,Abdoulaye Bamba\Abdoulaye-Bamba,ci CIV,DF,Angers,28,1990,28.6,6,0,0,22,25,2,48,31,30,0,0,0,252,19,21,47.5,Matches
40,Jonathan Bamba\Jonathan-Bamba,fr FRA,FWMF,Lille,22,1996,33.4,4,0,0,26,68,2,39,25,20,0,0,0,253,25,30,45.5,Matches
41,Yacine Bammou\Yacine-Bammou,ma MAR,FWMF,Caen,26,1991,10.3,2,0,0,9,9,3,22,7,6,0,0,0,90,7,21,25,Matches
42,Danilo Barbosa\Danilo-Barbosa,br BRA,MF,Nice,22,1996,17.2,1,1,0,18,34,0,4,12,20,0,0,0,111,15,9,62.5,Matches
43,Antonio Barreca\Antonio-Barreca,it ITA,DF,Monaco,23,1995,6.6,0,0,0,7,7,0,13,4,3,0,0,0,56,8,9,47.1,Matches
44,Toma Ba_i_\Toma-Basic,hr CRO,MF,Bordeaux,21,1996,14.8,3,0,0,24,23,0,20,7,17,0,0,0,113,27,22,55.1,Matches
45,Thomas Basila\Thomas-Basila,fr FRA,DF,Nantes,19,1999,1,0,0,0,0,1,0,0,1,2,0,0,0,8,3,1,75,Matches
46,Paul Baysse\Paul-Baysse,fr FRA,DF,Bordeaux,30,1988,0.8,1,0,0,1,0,0,0,1,1,0,0,0,13,2,0,100,Matches
47,Paul Baysse\Paul-Baysse,fr FRA,DF,Caen,30,1988,19.9,3,1,1,16,14,3,0,16,15,0,1,1,178,40,21,65.6,Matches
48,Claudio Beauvue\Claudio-Beauvue,GPE,FW,Caen,30,1988,16.7,1,0,0,23,28,4,26,3,12,1,0,0,75,38,54,41.3,Matches
49,Hatem Ben Arfa\Hatem-Ben-Arfa,fr FRA,MFFW,Rennes,31,1987,22.6,1,0,0,18,42,4,25,2,7,1,0,0,111,1,10,9.1,Matches
50,Diego Benaglio\Diego-Benaglio,ch SUI,GK,Monaco,34,1983,22.9,2,0,0,1,2,0,0,0,0,0,1,0,119,0,0,,Matches
