Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,31,1986,14.5,4,0,0,13,7,0,20,14,21,0,1,0,113,10,7,58.8,Matches
Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,30,1988,36.8,4,1,1,26,42,4,8,43,30,0,2,0,424,78,36,68.4,Matches
Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Empoli,26,1992,16.8,4,0,0,28,32,1,22,7,13,0,0,0,130,14,20,41.2,Matches
Claud Adjapong\Claud-Adjapong,it ITA,MFDF,Sassuolo,20,1998,3,1,0,0,3,6,2,3,3,3,0,0,0,21,2,3,40,Matches
Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,MFDF,Atalanta,24,1993,1.8,0,0,0,2,2,0,5,3,2,0,0,0,20,4,1,80,Matches
Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MF,Udinese,27,1990,1.8,0,0,0,2,4,0,0,0,4,0,0,0,10,4,5,44.4,Matches
Ola Aina\Ola-Aina,ng NGA,DFMF,Torino,21,1996,24,5,1,0,31,39,4,72,34,44,0,0,0,244,28,20,58.3,Matches
Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,25,1992,22.1,5,1,0,24,24,3,42,11,28,0,0,0,173,12,22,35.3,Matches
Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,32,1985,19,4,0,0,10,8,0,3,18,17,0,0,0,193,40,32,55.6,Matches
Allan\Allan,br BRA,MF,Napoli,27,1991,29.1,10,0,0,50,61,0,9,16,92,0,0,0,329,8,16,33.3,Matches
Bruno Alves\Bruno-Alves,pt POR,DF,Parma,36,1981,32.5,9,1,1,32,13,1,16,15,8,0,1,1,310,88,29,75.2,Matches
Joachim Andersen\Joachim-Andersen,dk DEN,DF,Sampdoria,22,1996,32,7,0,0,31,14,0,1,18,20,0,1,0,388,64,38,62.7,Matches
Marco Andreolli\Marco-Andreolli,it ITA,DF,Cagliari,32,1986,1.2,1,0,0,4,1,0,0,1,1,0,1,0,10,3,0,100,Matches
Marco Andreolli\Marco-Andreolli,it ITA,DF,Chievo,32,1986,7.2,2,0,0,7,3,1,0,4,7,0,2,0,45,29,7,80.6,Matches
Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,31,1986,20.1,3,0,0,23,32,2,131,15,24,0,0,0,150,4,18,18.2,Matches
Mirco Antenucci\Mirco-Antenucci,it ITA,FW,SPAL,33,1984,23.7,0,0,0,29,37,17,29,6,7,0,0,0,107,25,34,42.4,Matches
Luca Antonelli\Luca-Antonelli,it ITA,DFMF,Empoli,31,1987,8.4,1,0,0,11,22,3,9,10,9,0,0,0,74,6,3,66.7,Matches
Mauro Antonio Burruchaga\Mauro-Antonio-Burruchaga,ar ARG,MF,Chievo,20,1998,0.6,0,0,0,1,0,0,0,0,2,0,0,0,11,1,1,50,Matches
Joaquín Ardaiz\Joaquin-Ardaiz,uy URU,FW,Frosinone,19,1999,0.2,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,50,Matches
Lorenzo Ariaudo\Lorenzo-Ariaudo,it ITA,DF,Frosinone,29,1989,18.7,2,0,0,16,22,2,0,11,12,0,0,1,120,35,31,53,Matches
Nicolò Armini\Nicolo-Armini,it ITA,DF,Lazio,17,2001,0.4,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,Matches
Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Inter,29,1988,29.7,6,0,0,29,69,0,59,30,21,0,0,0,307,16,22,42.1,Matches
Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,21,1997,36,4,0,0,2,5,0,0,0,0,0,2,0,181,0,0,,Matches
Khouma Babacar\Khouma-Babacar,sn SEN,FW,Sassuolo,25,1993,16.5,0,0,0,30,20,10,4,6,8,1,1,0,63,24,32,42.9,Matches
Milan Badelj\Milan-Badelj,hr CRO,MF,Lazio,29,1989,12.7,6,0,0,25,15,0,9,28,21,0,0,0,176,13,10,56.5,Matches
Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Milan,23,1994,25.6,6,1,1,48,71,0,2,44,60,0,0,0,317,58,36,61.7,Matches
Keita Baldé\Keita-Balde,sn SEN,FWMF,Inter,23,1995,9.9,2,1,1,18,24,8,36,2,7,0,0,0,52,4,9,30.8,Matches
Andrija Bali?\Andrija-Balic,hr CRO,FWMF,Udinese,20,1997,0.3,0,0,0,1,0,0,1,1,0,0,0,0,5,0,0,,Matches
Mattia Bani\Mattia-Bani,it ITA,DF,Chievo,24,1993,29,8,1,1,32,33,2,7,36,39,0,1,1,270,65,40,61.9,Matches
Antonín Barák\Antonin-Barak,cz CZE,MFFW,Udinese,23,1994,3.7,0,0,0,4,3,0,3,4,8,0,0,0,23,2,4,33.3,Matches
Federico Barba\Federico-Barba,it ITA,DF,Chievo,24,1993,27.6,6,2,1,36,13,1,28,46,28,0,0,0,293,49,26,65.3,Matches
Francesco Bardi\Francesco-Bardi,it ITA,GK,Frosinone,26,1992,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,,Matches
Nicolò Barella\Nicolo-Barella,it ITA,MFFW,Cagliari,21,1997,34.5,10,2,2,61,82,4,49,26,61,0,2,0,362,19,40,32.2,Matches
Antonino Barillà\Antonino-Barilla,it ITA,MF,Parma,30,1988,29.1,10,0,0,67,33,4,21,27,48,1,0,0,205,17,34,33.3,Matches
Édgar Barreto\Edgar-Barreto,py PAR,MF,Sampdoria,34,1984,8.7,2,0,0,18,9,1,7,6,12,0,0,0,86,4,4,50,Matches
Musa Barrow\Musa-Barrow,gm GAM,FWMF,Atalanta,19,1998,6.7,0,0,0,7,5,3,7,2,6,0,0,0,36,4,14,22.2,Matches
Andrea Barzagli\Andrea-Barzagli,it ITA,DF,Juventus,37,1981,2.9,0,0,0,3,1,0,0,1,3,0,0,0,30,7,3,70,Matches
Daniele Baselli\Daniele-Baselli,it ITA,MF,Torino,26,1992,26.4,5,0,0,49,37,1,48,33,44,0,1,0,290,27,24,52.9,Matches
Alessandro Bastoni\Alessandro-Bastoni,it ITA,DF,Parma,19,1999,18.8,2,0,0,16,19,0,2,12,18,0,1,0,140,28,36,43.8,Matches
Bastos\Bastos,ao ANG,DF,Lazio,27,1991,12.7,3,0,0,12,7,1,3,7,20,0,1,0,95,19,13,59.4,Matches
Andrea Beghetto\Andrea-Beghetto,it ITA,DFMF,Frosinone,23,1994,24.7,3,0,0,25,16,3,139,14,19,0,0,0,170,6,4,60,Matches
Valon Behrami\Valon-Behrami,ch SUI,MF,Udinese,33,1985,15.1,6,0,0,47,34,0,1,20,41,0,1,0,173,19,11,63.3,Matches
Andrea Belotti\Andrea-Belotti,it ITA,FW,Torino,24,1993,36.7,5,0,0,72,111,29,30,13,18,1,0,0,188,116,134,46.4,Matches
Marco Benassi\Marco-Benassi,it ITA,MF,Fiorentina,23,1994,25.4,6,1,0,25,22,2,31,15,16,0,0,0,192,5,31,13.9,Matches
Medhi Benatia\Medhi-Benatia,ma MAR,DF,Juventus,31,1987,5,2,0,0,13,3,0,0,8,6,0,1,0,53,8,7,53.3,Matches
Ismaël Bennacer\Ismael-Bennacer,dz ALG,MF,Empoli,20,1997,32.9,7,0,0,48,59,0,20,60,68,0,1,0,395,24,26,48,Matches
Rodrigo Bentancur\Rodrigo-Bentancur,uy URU,MF,Juventus,21,1997,22.3,8,1,1,39,15,2,16,39,28,0,0,0,216,30,23,56.6,Matches
Domenico Berardi\Domenico-Berardi,it ITA,FWMF,Sassuolo,23,1994,31.9,5,1,0,65,92,12,65,30,23,0,0,0,243,20,29,40.8,Matches
Álex Berenguer\Alex-Berenguer,es ESP,MFFW,Torino,23,1995,16.5,4,0,0,29,34,3,60,4,27,1,0,0,104,11,34,24.4,Matches
Bartosz Bereszy?ski\Bartosz-Bereszynski,pl POL,DF,Sampdoria,26,1992,24.4,6,1,1,26,30,0,42,16,25,0,0,0,229,20,13,60.6,Matches
