Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Matches
Issah Abbas\Issah-Abbas,gh GHA,DFFW,Mainz 05,22-215,1998,0.2,0,0,0,1,0,0,0,0,0,0,0,0,4,Matches
David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,34-288,1986,13.6,5,1,1,11,8,1,8,15,13,0,0,0,176,Matches
Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,31-033,1990,0.7,0,0,0,4,0,0,0,2,1,0,0,0,6,Matches
Ragnar Ache\Ragnar-Ache,de GER,FWMF,Eint Frankfurt,22-275,1998,0.9,0,0,0,4,1,1,0,0,0,0,0,0,6,Matches
Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,22-074,1999,20.6,3,0,0,29,29,2,12,31,31,0,0,0,227,Matches
Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,27-341,1993,2.9,0,0,0,3,7,1,3,4,2,0,0,0,14,Matches
Felix Agu\Felix-Agu,de GER,DF,Werder Bremen,21-214,1999,7.7,0,0,0,5,25,1,10,20,15,0,0,0,65,Matches
Naouirou Ahamada\Naouirou-Ahamada,fr FRA,MF,Stuttgart,19-031,2002,2.4,1,1,0,4,9,0,1,4,1,0,0,0,21,Matches
Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,25-284,1995,23.4,4,0,0,21,17,0,0,33,27,1,1,0,226,Matches
Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,26-010,1995,11.4,1,0,0,14,13,0,6,9,11,0,0,0,95,Matches
David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,28-309,1992,27.3,3,0,0,18,10,0,22,34,28,0,0,0,296,Matches
Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,28-203,1992,13.8,2,0,0,18,17,12,0,3,6,0,0,0,50,Matches
Omar Alderete\Omar-Alderete,py PAR,DF,Hertha BSC,24-124,1996,11.4,1,0,0,18,4,0,1,12,10,0,0,0,112,Matches
Nadiem Amiri\Nadiem-Amiri,de GER,MF,Leverkusen,24-184,1996,20.1,4,0,0,20,24,4,20,18,13,0,0,0,154,Matches
Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Köln,29-288,1991,10.1,0,0,0,14,5,6,4,3,2,1,0,0,45,Matches
Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,26-219,1994,27.1,4,1,0,48,34,1,6,55,38,0,0,1,354,Matches
Angeliño\Angelino,es ESP,DFFW,RB Leipzig,24-115,1997,22.7,2,0,0,20,26,7,105,29,16,0,0,0,177,Matches
Waldemar Anton\Waldemar-Anton,de GER,DF,Stuttgart,24-283,1996,27.1,3,0,0,21,32,1,8,45,20,0,1,0,313,Matches
Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,32-012,1989,16.6,4,0,0,28,21,0,2,23,28,0,0,0,209,Matches
Santiago Arias\Santiago-Arias,co COL,DF,Leverkusen,29-106,1992,1,0,0,0,1,0,0,0,0,4,0,0,0,12,Matches
Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,26-337,1994,25.7,5,1,0,32,53,0,29,37,39,0,1,0,346,Matches
Toluwalas Arokodare\Toluwalas-Arokodare,ng NGA,FW,Köln,20-157,2000,1.2,0,0,0,1,1,2,0,0,1,0,0,0,7,Matches
Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Hertha BSC,24-063,1997,4.3,1,0,0,6,0,0,1,4,5,0,0,0,46,Matches
Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,27-008,1994,19.7,4,0,0,15,24,2,73,13,15,0,1,1,165,Matches
Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Union Berlin,23-260,1997,14.3,0,0,0,20,20,14,3,4,6,1,0,0,59,Matches
Mehmet-Can Aydin\Mehmet-Can-Aydin,de GER,DF,Schalke 04,19-079,2002,3.8,0,0,0,3,4,0,10,7,6,0,0,0,24,Matches
Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,23-263,1997,23.3,6,0,0,24,43,15,88,18,12,0,0,0,187,Matches
Ridle Baku\Ridle-Baku,de GER,FWDF,Wolfsburg,23-021,1998,26.8,0,0,0,27,35,10,82,43,26,0,0,0,224,Matches
Ridle Baku\Ridle-Baku,de GER,DF,Mainz 05,23-021,1998,2,0,0,0,1,5,0,3,4,2,0,0,0,20,Matches
Philipp Bargfrede\Philipp-Bargfrede,de GER,MF,Werder Bremen,32-057,1989,0.3,0,0,0,0,1,0,1,1,1,0,0,0,2,Matches
Aymen Barkok\Aymen-Barkok,ma MAR,FWMF,Eint Frankfurt,22-343,1998,10.3,5,0,0,23,6,1,16,13,18,0,1,0,88,Matches
Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,21-116,2000,22.3,3,0,0,57,40,0,6,35,31,0,2,0,273,Matches
Jacob Barrett Laursen\Jacob-Barrett-Laursen,dk DEN,DF,Arminia,26-163,1994,11.7,1,0,0,11,12,0,15,21,12,0,0,0,105,Matches
Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,30-331,1990,30,1,0,0,0,8,0,0,0,0,0,0,0,209,Matches
Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,Leverkusen,33-117,1988,11.9,1,0,0,11,14,0,2,17,28,0,0,0,130,Matches
Christoph Baumgartner\Christoph-Baumgartner,at AUT,MFFW,Hoffenheim,21-271,1999,25.3,6,0,0,67,52,1,17,19,36,2,0,0,198,Matches
Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,ng NGA,FWMF,Augsburg,24-251,1996,0.4,1,0,0,2,1,1,0,2,1,0,0,0,6,Matches
Ihlas Bebou\Ihlas-Bebou,tg TOG,FW,Hoffenheim,27-006,1994,21.5,3,0,0,22,30,3,36,7,18,1,0,0,106,Matches
Sheraldo Becker\Sheraldo-Becker,nl NED,FWMF,Union Berlin,26-079,1995,11.9,2,0,0,18,14,6,47,5,7,0,0,0,102,Matches
