Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,21-353,1999,0.6,0,0,0,0,1,0,1,1,0,0,0,0,4,0,1,0,Matches
Marcos Acuña\Marcos-Acuna,ar ARG,DF,Sevilla,29-183,1991,22.5,4,0,0,39,28,1,67,22,43,0,2,0,196,18,29,38.3,Matches
Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,22-074,1999,0.4,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,,Matches
Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,24-354,1996,14.3,1,0,0,20,19,1,18,31,12,0,0,0,96,13,20,39.4,Matches
Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,25-212,1995,12.6,3,0,0,12,13,1,1,13,17,0,0,0,137,41,38,51.9,Matches
Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,28-048,1993,6.4,3,1,1,8,2,0,12,6,9,0,0,0,60,12,5,70.6,Matches
Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,23-130,1997,4.2,5,1,1,11,2,0,2,6,8,0,0,0,37,8,8,50,Matches
Jony Álamo\Jony-Alamo,es ESP,MF,Elche,19-216,2001,0.8,0,0,0,0,2,0,0,0,1,0,0,0,7,0,1,0,Matches
Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,32-039,1989,28.1,8,0,0,19,14,10,90,36,21,0,0,1,249,4,12,25,Matches
Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,35-237,1985,30.6,7,0,0,11,16,1,3,22,16,0,1,0,280,54,44,55.1,Matches
Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,27-242,1993,15.4,0,0,0,7,7,16,5,6,4,0,0,0,39,9,40,18.4,Matches
Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,32-041,1989,8,2,0,0,12,5,1,0,17,7,0,0,1,42,15,14,51.7,Matches
Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,29-363,1991,22.4,9,0,0,43,39,0,5,26,36,0,0,0,272,53,54,49.5,Matches
Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,26-078,1995,6.6,4,0,0,20,19,4,35,2,9,0,0,0,36,14,8,63.6,Matches
