Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Matches
Ismael Aaneba\Ismael-Aaneba,fr FRA,FWDF,Strasbourg,21-336,1999,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,Matches
Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,33-214,1987,30,4,0,0,37,20,0,0,51,42,0,0,0,268,Matches
Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,28-267,1992,14.7,5,0,0,30,22,1,21,23,24,0,0,0,146,Matches
Laurent Abergel\Laurent-Abergel,fr FRA,MF,Lorient,28-088,1993,28.9,5,0,0,37,33,0,15,43,98,1,0,0,277,Matches
Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,21-018,2000,9,1,0,0,16,8,7,4,6,3,0,0,0,38,Matches
Matthis Abline\Matthis-Abline,fr FRA,FW,Rennes,18-033,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Pape Abou Cisse\Pape-Abou-Cisse,sn SEN,DF,Saint-Étienne,25-228,1995,12,1,0,0,7,7,1,1,25,9,0,0,0,111,Matches
Yacine Adli\Yacine-Adli,fr FRA,MF,Bordeaux,20-275,2000,23,6,0,0,34,30,0,29,33,54,0,0,0,184,Matches
Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Rennes,25-031,1996,31,4,0,0,18,29,2,0,33,33,0,0,0,298,Matches
Ruben Aguilar\Ruben-Aguilar,fr FRA,DF,Monaco,28-004,1993,22.8,6,0,0,37,33,1,97,32,42,1,0,0,236,Matches
Matteo Ahlinvi\Matteo-Ahlinvi,bj BEN,MF,Nîmes,21-302,1999,9,0,0,0,14,14,1,4,4,17,0,1,0,61,Matches
Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,sn SEN,FW,Marseille,21-038,2000,1.3,0,0,0,2,1,3,0,1,2,0,0,0,4,Matches
