Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-243,1990,19.7,2,0,0,11,4,3,34,34,19,0,0,0,180,10,11,47.6,Matches
Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-209,1997,11.4,0,0,0,21,12,5,4,2,3,1,0,0,46,38,27,58.5,Matches
Che Adams\Che-Adams,sco SCO,FW,Southampton,24-290,1996,25.3,1,0,0,24,46,18,10,7,15,0,0,0,100,37,117,24,Matches
Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-217,1997,28,1,0,0,13,4,2,3,42,21,0,1,1,240,84,35,70.6,Matches
Adrián\Adrian,es ESP,GK,Liverpool,34-116,1987,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,,Matches
Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-331,1988,4.2,0,0,0,2,6,1,1,4,0,0,0,0,13,2,5,28.6,Matches
Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-203,1996,27.9,2,0,0,28,23,1,40,49,23,0,0,0,245,31,42,42.5,Matches
Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-327,2001,11.8,0,0,0,10,18,0,20,10,13,0,1,0,84,10,14,41.7,Matches
Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-171,1993,25.9,3,1,0,27,3,0,5,32,38,0,2,0,228,69,33,67.6,Matches
Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-070,1995,5.9,4,0,0,4,5,0,0,3,2,0,0,0,62,27,10,73,Matches
Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-162,1989,15.5,2,0,0,8,20,4,60,21,25,0,0,0,148,12,28,30,Matches
Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,30-018,1991,15.6,4,0,0,40,19,0,3,26,29,0,1,0,186,26,18,59.1,Matches
Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,32-058,1989,19.9,2,0,0,16,3,0,1,5,15,0,0,1,167,47,33,58.8,Matches
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,26-070,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-204,1998,28.7,1,0,0,15,9,3,151,32,34,0,1,0,300,8,26,23.5,Matches
Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,29-076,1992,22.8,7,0,0,34,31,5,49,29,33,0,1,0,214,37,36,50.7,Matches
Alisson\Alisson,br BRA,GK,Liverpool,28-209,1992,28,1,0,0,1,2,0,0,0,0,0,1,0,149,0,1,0,Matches
Allan\Allan,br BRA,MF,Everton,30-111,1991,16.8,5,0,0,24,20,0,2,16,38,0,0,0,175,1,10,9.1,Matches
Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,25-018,1996,2.7,0,0,0,3,5,0,4,4,3,0,0,0,34,5,7,41.7,Matches
Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,27-078,1994,22.3,2,0,0,14,32,6,26,24,25,0,0,0,159,7,16,30.4,Matches
