Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Matches
Gennaro Acampora\Gennaro-Acampora,it ITA,MFFW,Spezia,27-032,1994,4.7,2,0,0,8,11,1,7,4,6,0,0,0,48,Matches
Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,33-079,1988,28.3,5,0,0,25,21,2,23,56,35,0,0,0,342,Matches
Andrea Adorante\Andrea-Adorante,it ITA,FW,Parma,21-084,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,Matches
Lucien Agoume\Lucien-Agoume,fr FRA,MF,Spezia,19-080,2002,8.1,2,0,0,15,8,0,0,14,11,0,0,0,96,Matches
Kevin Agudelo\Kevin-Agudelo,co COL,FW,Spezia,22-167,1998,12.9,3,0,0,17,25,2,7,4,22,0,0,0,54,Matches
Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,MFFW,Lazio,28-201,1992,9.5,8,0,0,28,10,0,1,15,27,0,0,0,77,Matches
Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,28-214,1992,24.4,4,0,0,18,32,2,28,18,31,0,0,0,225,Matches
Bruno Alves\Bruno-Alves,pt POR,DF,Parma,39-154,1981,15.1,3,0,0,15,7,1,6,12,5,0,0,0,138,Matches
Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Fiorentina,24-252,1996,24.9,7,0,0,58,39,0,7,21,39,0,0,0,241,Matches
Djavan Anderson\Djavan-Anderson,nl NED,DF,Lazio,26-009,1995,0.8,0,0,0,1,1,0,1,0,0,0,0,0,10,Matches
Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Udinese,33-018,1988,2,0,0,0,0,0,0,0,0,0,0,0,0,5,Matches
Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,it ITA,DF,Atalanta,19-318,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Philip Ankhrah\Philip-Ankhrah,gh GHA,MF,Hellas Verona,18-215,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DF,Torino,34-222,1986,16.2,1,0,0,22,20,0,104,25,21,0,1,0,108,Matches
Valentin Antov\Valentin-Antov,bg BUL,DF,Bologna,20-172,2000,2.2,1,0,0,2,2,0,0,2,3,0,0,0,12,Matches
Tolgay Arslan\Tolgay-Arslan,de GER,MF,Udinese,30-257,1990,18.5,8,0,0,34,41,0,7,18,36,0,1,0,180,Matches
Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Cagliari,32-142,1988,2,0,0,0,0,4,0,3,4,4,0,0,0,17,Matches
Kristoffer Askildsen\Kristoffer-Askildsen,no NOR,MF,Sampdoria,20-111,2001,0.9,2,0,0,3,0,0,1,1,1,0,0,0,4,Matches
Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,24-102,1997,33,0,0,0,0,6,0,0,0,0,0,0,0,173,Matches
