Rk,Squad,GF,GA,GD,Pts,Attendance
1,Bayern Munich,86,40,46,71,
2,RB Leipzig,55,25,30,64,1125
3,Wolfsburg,54,32,22,57,610
4,Eint Frankfurt,62,47,15,56,967
5,Dortmund,66,42,24,55,1407
6,Leverkusen,51,35,16,50,378
7,M'Gladbach,59,46,13,46,668
8,Union Berlin,47,38,9,46,844
9,Freiburg,45,43,2,41,200
10,Stuttgart,52,51,1,39,1108
11,Hoffenheim,45,50,-5,36,402
12,Mainz 05,33,49,-16,34,250
13,Augsburg,31,47,-16,33,375
14,Werder Bremen,34,51,-17,30,580
15,Arminia,23,51,-28,30,341
16,Köln,32,56,-24,29,40
17,Hertha BSC,34,48,-14,26,571
18,Schalke 04,18,76,-58,13,20
