Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Alisson\Alisson,br BRA,GK,Liverpool,25,1992,38,38,3420,38,22,0.58,96,74,77.1,30,7,1,21,55.3,1,0,0,1,,Matches
Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,23,1994,36,36,3240,36,39,1.08,117,78,67.5,20,8,8,14,38.9,2,1,1,0,50,Matches
Asmir Begovi?\Asmir-Begovic,ba BIH,GK,Bournemouth,31,1987,24,24,2160,24,47,1.96,101,58,55.4,8,3,13,5,20.8,2,2,0,0,0,Matches
Marcus Bettinelli\Marcus-Bettinelli,eng ENG,GK,Fulham,26,1992,7,7,630,7,20,2.86,38,19,50,1,2,4,0,0,3,1,1,1,50,Matches
Artur Boruc\Artur-Boruc,pl POL,GK,Bournemouth,38,1980,12,12,1080,12,18,1.5,52,36,71.2,4,3,5,4,33.3,3,3,0,0,0,Matches
David Button\David-Button,eng ENG,GK,Brighton,29,1989,4,4,360,4,5,1.25,15,12,80,1,1,2,1,25,2,2,0,0,0,Matches
Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,36,1981,2,2,180,2,0,0,3,3,100,1,1,0,2,100,0,0,0,0,,Matches
Petr ?ech\Petr-Cech,cz CZE,GK,Arsenal,36,1982,7,7,585,6.5,9,1.38,36,27,75,5,0,2,2,28.6,0,0,0,0,,Matches
Joel Coleman\Joel-Coleman,eng ENG,GK,Huddersfield,22,1995,1,1,90,1,1,1,3,1,66.7,0,1,0,0,0,0,0,0,0,,Matches
Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,29,1989,38,38,3420,38,48,1.26,135,94,68.9,12,9,17,11,28.9,6,6,0,0,0,Matches
Ederson\Ederson,br BRA,GK,Manchester City,24,1993,38,38,3420,38,23,0.61,76,57,75,32,2,4,20,52.6,4,4,0,0,0,Matches
Neil Etheridge\Neil-Etheridge,ph PHI,GK,Cardiff City,28,1990,38,38,3420,38,69,1.82,201,135,67.7,10,4,24,10,26.3,7,4,3,0,42.9,Matches
?ukasz Fabia?ski\Lukasz-Fabianski,pl POL,GK,West Ham,33,1985,38,38,3420,38,55,1.45,191,139,73.3,15,7,16,7,18.4,5,4,1,0,20,Matches
Fabricio\Fabricio,es ESP,GK,Fulham,30,1987,2,2,180,2,5,2.5,23,18,78.3,0,0,2,0,0,0,0,0,0,,Matches
Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,30,1988,1,1,90,1,3,3,6,3,50,0,0,1,0,0,0,0,0,0,,Matches
