Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
René Adler\Rene-Adler,de GER,GK,Hamburger SV,31,1985,19,19,1710,19,38,2,87,49,59.8,5,4,10,5,26.3,6,3,1,2,25,Matches
Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,26,1990,34,34,3060,34,37,1.09,150,113,76,16,14,4,12,35.3,3,1,1,1,50,Matches
Diego Benaglio\Diego-Benaglio,ch SUI,GK,Wolfsburg,32,1983,14,14,1260,14,22,1.57,63,41,68.3,5,1,8,3,21.4,4,2,1,1,33.3,Matches
Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,25,1990,27,27,2430,27,29,1.07,97,68,72.2,16,6,5,9,33.3,2,2,0,0,0,Matches
Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,24,1992,20,20,1800,20,30,1.5,92,62,67.4,5,6,9,8,40,1,0,0,1,,Matches
Fabio Coltorti\Fabio-Coltorti,ch SUI,GK,RB Leipzig,35,1980,1,1,90,1,0,0,2,2,100,1,0,0,1,100,0,0,0,0,,Matches
Jaroslav Drobný\Jaroslav-Drobny,cz CZE,GK,Werder Bremen,36,1979,10,10,849,9.4,15,1.59,45,30,71.1,3,4,2,1,10,2,2,0,0,0,Matches
Michael Esser\Michael-Esser,de GER,GK,Darmstadt 98,28,1987,28,28,2484,27.6,50,1.81,144,94,68.8,6,3,19,3,10.7,7,5,1,1,16.7,Matches
Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,27,1988,34,34,3060,34,40,1.18,118,78,71.2,11,10,13,8,23.5,10,6,4,0,40,Matches
Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,RB Leipzig,26,1990,33,33,2970,33,39,1.18,102,63,64.7,19,7,7,9,27.3,5,3,2,0,40,Matches
Martin Hansen\Martin-Hansen,dk DEN,GK,Ingolstadt 04,26,1990,23,23,2037,22.6,34,1.5,98,64,70.4,8,5,10,3,13,6,5,1,0,16.7,Matches
Daniel Heuer Fernandes\Daniel-Heuer-Fernandes,pt POR,GK,Darmstadt 98,23,1992,7,6,576,6.4,13,2.03,43,30,72.1,1,1,4,0,0,1,1,0,0,0,Matches
Marwin Hitz\Marwin-Hitz,ch SUI,GK,Augsburg,28,1987,32,32,2880,32,50,1.56,162,112,71.6,9,9,14,7,21.9,5,4,0,1,0,Matches
Timo Horn\Timo-Horn,de GER,GK,Köln,23,1993,20,20,1800,20,24,1.2,91,67,76.9,9,6,5,6,30,3,3,0,0,0,Matches
Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,Eint Frankfurt,26,1989,33,33,2883,32,40,1.25,111,71,66.7,10,9,13,10,30.3,4,3,0,1,0,Matches
Jannik Huth\Jannik-Huth,de GER,GK,Mainz 05,22,1994,7,7,630,7,9,1.29,26,17,65.4,2,2,3,2,28.6,0,0,0,0,,Matches
Rune Jarstein\Rune-Jarstein,no NOR,GK,Hertha BSC,31,1984,34,34,3060,34,47,1.38,150,103,71.3,15,4,15,11,32.4,5,4,1,0,20,Matches
Thomas Kessler\Thomas-Kessler,de GER,GK,Köln,30,1986,13,13,1170,13,18,1.38,64,46,73.4,3,6,4,3,23.1,1,1,0,0,0,Matches
Bernd Leno\Bernd-Leno,de GER,GK,Leverkusen,24,1992,34,34,3060,34,55,1.62,160,105,67.5,11,8,15,6,17.6,3,3,0,0,0,Matches
Heinz Lindner\Heinz-Lindner,at AUT,GK,Eint Frankfurt,26,1990,2,1,175,1.9,3,1.54,9,6,66.7,1,0,1,1,100,0,0,0,0,,Matches
Jonas Lössl\Jonas-Lossl,dk DEN,GK,Mainz 05,27,1989,27,27,2430,27,46,1.7,134,88,67.9,8,5,14,5,18.5,4,3,1,0,25,Matches
Andreas Luthe\Andreas-Luthe,de GER,GK,Augsburg,29,1987,2,2,180,2,1,0.5,14,13,92.9,0,2,0,1,50,0,0,0,0,,Matches
Christian Mathenia\Christian-Mathenia,de GER,GK,Hamburger SV,24,1992,14,14,1260,14,19,1.36,58,39,70.7,5,4,5,3,21.4,2,2,0,0,0,Matches
