Rk,Squad,GF,GA,GD,Pts,Attendance
1,Barcelona,99,29,70,93,66603
2,Atlético Madrid,58,22,36,79,55483
3,Real Madrid,94,44,50,76,66161
4,Valencia,65,38,27,73,38657
5,Villarreal,57,50,7,61,16731
6,Betis,60,61,-1,60,46711
7,Sevilla,49,58,-9,58,33045
8,Getafe,42,33,9,55,10318
9,Eibar,44,50,-6,51,5338
10,Girona,50,59,-9,51,10330
11,Espanyol,36,42,-6,49,17768
12,Real Sociedad,66,59,7,49,19736
13,Celta Vigo,59,60,-1,49,15683
14,Alavés,40,50,-10,47,16819
15,Levante,44,58,-14,46,17927
16,Athletic Club,41,49,-8,43,37325
17,Leganés,34,51,-17,43,9539
18,La Coruña,38,76,-38,29,20612
19,Las Palmas,24,74,-50,22,16156
20,Málaga,24,61,-37,20,20420
