Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,23,1995,25,25,2250,25,44,1.76,96,55,56.3,7,5,13,5,20,2,2,0,0,0,Matches
2,Bobby Allain\Bobby-Allain,fr FRA,GK,Dijon,26,1991,13,13,1170,13,17,1.31,74,58,78.4,2,2,9,1,7.7,1,1,0,0,0,Matches
3,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,25,1993,21,21,1890,21,17,0.81,63,51,79.4,16,3,2,11,52.4,4,4,0,0,0,Matches
4,Diego Benaglio\Diego-Benaglio,ch SUI,GK,Monaco,34,1983,23,22,2057,22.9,38,1.66,94,60,62.8,4,6,12,4,18.2,5,3,2,0,40,Matches
5,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,25,1993,35,35,3150,35,29,0.83,141,115,80.9,15,10,10,16,45.7,5,2,3,0,60,Matches
6,Paul Bernardoni\Paul-Bernardoni,fr FRA,GK,Nîmes,21,1997,38,38,3420,38,58,1.53,177,122,69.5,15,8,15,10,26.3,5,4,1,0,20,Matches
7,Dimitry Bertaud\Dimitry-Bertaud,fr FRA,GK,Montpellier,20,1998,1,1,90,1,0,0,1,1,100,0,1,0,1,100,0,0,0,0,,Matches
8,Zacharie Boucher\Zacharie-Boucher,fr FRA,GK,Angers,26,1992,2,2,180,2,1,0.5,4,3,75,1,1,0,1,50,0,0,0,0,,Matches
9,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Paris S-G,40,1978,17,17,1530,17,18,1.06,61,47,72.1,13,1,3,6,35.3,2,1,1,0,50,Matches
10,Ludovic Butelle\Ludovic-Butelle,fr FRA,GK,Angers,35,1983,36,36,3239,36,48,1.33,156,112,71.2,9,15,12,12,33.3,5,3,2,0,40,Matches
11,Marc-Aurèle Caillard\Marc-Aurele-Caillard,fr FRA,GK,Guingamp,24,1994,21,21,1890,21,34,1.62,90,56,63.3,4,7,10,6,28.6,2,1,1,0,50,Matches
12,Yoan Cardinale\Yoan-Cardinale,fr FRA,GK,Nice,24,1994,3,3,270,3,6,2,12,7,58.3,0,1,2,0,0,1,1,0,0,0,Matches
13,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,31,1987,37,37,3330,37,42,1.14,146,110,75.3,9,11,17,10,27,7,6,1,0,14.3,Matches
14,Abdoulaye Diallo\Abdoulaye-Diallo,sn SEN,GK,Rennes,26,1992,6,6,495,5.5,4,0.73,18,15,83.3,3,2,1,2,33.3,1,1,0,0,0,Matches
15,Maxime Dupé\Maxime-Dupe,fr FRA,GK,Nantes,25,1993,11,10,939,10.4,17,1.63,31,16,51.6,5,3,2,1,10,3,2,1,0,33.3,Matches
16,Mauro Goicoechea\Mauro-Goicoechea,uy URU,GK,Toulouse,30,1988,8,7,712,7.9,12,1.52,35,24,68.6,2,3,2,3,42.9,1,1,0,0,0,Matches
17,Mathieu Gorgelin\Mathieu-Gorgelin,fr FRA,GK,Lyon,27,1990,4,4,360,4,5,1.25,15,10,66.7,3,0,1,1,25,0,0,0,0,,Matches
18,Régis Gurtner\Regis-Gurtner,fr FRA,GK,Amiens,31,1986,38,38,3420,38,54,1.42,155,109,69,9,11,18,11,28.9,9,6,2,1,25,Matches
19,Karl-Johan Johnsson\Karl-Johan-Johnsson,se SWE,GK,Guingamp,28,1990,17,17,1530,17,34,2,73,41,56.2,1,5,11,4,23.5,4,2,1,1,33.3,Matches
20,Eiji Kawashima\Eiji-Kawashima,jp JPN,GK,Strasbourg,35,1983,1,1,90,1,0,0,1,1,100,1,0,0,1,100,0,0,0,0,,Matches
21,Tomá_ Koubek\Tomas-Koubek,cz CZE,GK,Rennes,25,1992,33,32,2925,32.5,48,1.48,134,90,66.4,10,11,11,9,28.1,4,3,1,0,25,Matches
22,Benjamin Lecomte\Benjamin-Lecomte,fr FRA,GK,Montpellier,27,1991,37,37,3330,37,42,1.14,136,100,71.3,15,13,9,11,29.7,5,3,1,1,25,Matches
23,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,27,1990,34,34,3060,34,42,1.24,131,97,71.8,18,9,7,9,26.5,5,5,0,0,0,Matches
24,Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,22,1995,38,38,3420,38,34,0.89,118,91,76.3,22,9,7,15,39.5,10,6,2,2,25,Matches
