Rk,Squad,GF,GA,GD,Pts,Attendance
1,Lille,57,22,35,73,234
2,Paris S-G,77,26,51,72,
3,Monaco,71,38,33,71,
4,Lyon,67,35,32,67,258
5,Lens,54,46,8,56,
6,Marseille,49,42,7,55,
7,Rennes,48,36,12,54,
8,Montpellier,54,57,-3,47,
9,Nice,44,45,-1,46,
10,Metz,37,41,-4,43,557
11,Reims,39,41,-2,41,
12,Angers,34,51,-17,41,
13,Brest,47,57,-10,40,
14,Saint-Étienne,39,52,-13,39,
15,Strasbourg,43,53,-10,37,
16,Bordeaux,36,52,-16,36,
17,Lorient,44,62,-18,35,
18,Nantes,35,52,-17,31,
19,Nîmes,33,62,-29,31,
20,Dijon,23,61,-38,18,
