Rk,Squad,GF,GA,GD,Pts,Attendance
1,Manchester City,106,27,79,100,54070
2,Manchester Utd,68,28,40,81,74976
3,Tottenham,74,36,38,77,67953
4,Liverpool,84,38,46,75,53049
5,Chelsea,62,38,24,70,41282
6,Arsenal,74,51,23,63,59323
7,Burnley,36,39,-3,54,20688
8,Everton,44,58,-14,49,38797
9,Leicester City,56,60,-4,47,31583
10,Newcastle Utd,39,47,-8,44,51992
11,Crystal Palace,45,55,-10,44,25063
12,Bournemouth,45,61,-16,44,10641
13,West Ham,48,68,-20,42,56885
14,Watford,44,64,-20,41,20231
15,Brighton,34,54,-20,40,30403
16,Huddersfield,28,58,-30,37,24040
17,Southampton,37,56,-19,36,30794
18,Swansea City,28,56,-28,33,20623
19,Stoke City,35,68,-33,33,29280
20,West Brom,31,56,-25,31,24520
