Rk,Squad,GF,GA,GD,Pts,Attendance
1,Inter,72,29,43,79,125
2,Atalanta,78,39,39,68,118
3,Juventus,65,30,35,66,118
4,Napoli,73,37,36,66,125
5,Milan,60,41,19,66,118
6,Lazio,56,46,10,61,188
7,Roma,58,51,7,55,118
8,Sassuolo,55,50,5,52,159
9,Sampdoria,43,47,-4,42,125
10,Hellas Verona,40,41,-1,41,733
11,Udinese,38,44,-6,39,188
12,Bologna,44,53,-9,38,125
13,Genoa,37,48,-11,36,59
14,Fiorentina,42,54,-12,34,118
15,Spezia,42,62,-20,33,125
16,Benevento,37,66,-29,31,176
17,Torino,46,56,-10,31,125
18,Cagliari,39,56,-17,31,118
19,Parma,36,70,-34,20,176
20,Crotone,42,83,-41,18,63
