Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,31,1986,27,27,2302,25.6,0,2,0,0,0,3,0,0,0.08,0.08,0,0.08,0.5,0.5,0.4,0.8,0.02,0.01,0.03,0.02,0.03,Matches
Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,27,1990,12,11,850,9.4,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.5,0.7,0.02,0.06,0.08,0.02,0.08,Matches
René Adler\Rene-Adler,de GER,GK,Mainz 05,32,1985,14,14,1260,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.03,0.03,0,0.03,Matches
Ailton\Ailton,br BRA,DFFW,Stuttgart,22,1995,5,1,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.02,0.14,0.16,0.02,0.16,Matches
Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,22,1995,11,10,904,10,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,Matches
Chadrac Akolo\Chadrac-Akolo,cd COD,FWMF,Stuttgart,22,1995,22,13,1102,12.2,5,0,5,0,1,2,0,0.41,0,0.41,0.41,0.41,4.7,4,1.7,5.7,0.39,0.14,0.53,0.33,0.47,Matches
Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,22,1995,22,17,1690,18.8,0,1,0,0,0,1,0,0,0.05,0.05,0,0.05,0.2,0.2,1.5,1.7,0.01,0.08,0.09,0.01,0.09,Matches
David Alaba\David-Alaba,at AUT,DF,Bayern Munich,25,1992,23,17,1551,17.2,2,2,2,0,0,1,0,0.12,0.12,0.23,0.12,0.23,1,1,2.2,3.2,0.06,0.13,0.18,0.06,0.18,Matches
Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,24,1992,23,17,1550,17.2,9,4,8,1,2,4,1,0.52,0.23,0.75,0.46,0.7,10.9,9.4,1.7,11.1,0.63,0.1,0.73,0.55,0.64,Matches
Miiko Albornoz\Miiko-Albornoz,cl CHI,DF,Hannover 96,26,1990,10,7,703,7.8,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,1.2,1.4,0.03,0.15,0.18,0.03,0.18,Matches
Thiago Alcántara\Thiago-Alcantara,es ESP,MFFW,Bayern Munich,26,1991,19,12,1247,13.9,2,2,2,0,0,3,0,0.14,0.14,0.29,0.14,0.29,2.3,2.3,2.4,4.7,0.17,0.17,0.34,0.17,0.34,Matches
Stephan Ambrosius\Stephan-Ambrosius,de GER,DF,Hamburger SV,18,1998,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,20,1996,28,19,1744,19.4,2,3,2,0,0,4,0,0.1,0.15,0.26,0.1,0.26,2.7,2.7,3.1,5.8,0.14,0.16,0.3,0.14,0.3,Matches
