Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Issah Abbas\Issah-Abbas,gh GHA,FW,Mainz 05,19,1998,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,32,1986,17,17,1420,15.8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,28,1990,10,9,790,8.8,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Tyler Adams\Tyler-Adams,us USA,MF,RB Leipzig,19,1999,10,8,721,8,0,2,0,0,0,0,0,0,0.25,0.25,0,0.25,Matches
Antonis Aidonis\Antonis-Aidonis,de GER,DF,Stuttgart,17,2001,2,1,80,0.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,23,1995,25,25,2205,24.5,1,0,1,0,0,1,0,0.04,0,0.04,0.04,0.04,Matches
Chadrac Akolo\Chadrac-Akolo,cd COD,MFFW,Stuttgart,23,1995,16,5,525,5.8,0,1,0,0,0,0,0,0,0.17,0.17,0,0.17,Matches
Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,23,1995,8,5,499,5.5,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hannover 96,23,1995,4,4,313,3.5,0,0,0,0,0,2,0,0,0,0,0,0,Matches
David Alaba\David-Alaba,at AUT,DF,Bayern Munich,26,1992,31,29,2530,28.1,3,3,3,0,0,4,0,0.11,0.11,0.21,0.11,0.21,Matches
Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,25,1992,27,11,1265,14.1,9,3,9,0,0,1,0,0.64,0.21,0.85,0.64,0.85,Matches
Miiko Albornoz\Miiko-Albornoz,cl CHI,DFMF,Hannover 96,27,1990,22,19,1660,18.4,1,3,1,0,0,3,1,0.05,0.16,0.22,0.05,0.22,Matches
Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,24,1993,26,11,1211,13.5,18,0,17,1,1,0,0,1.34,0,1.34,1.26,1.26,Matches
Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,27,1991,30,26,2408,26.8,2,6,2,0,0,5,0,0.07,0.22,0.3,0.07,0.3,Matches
Allan\Allan,br BRA,MFDF,Eint Frankfurt,21,1997,4,2,176,2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Alfons Amade\Alfons-Amade,de GER,MF,Hoffenheim,18,1999,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,21,1996,13,10,754,8.4,3,1,3,0,0,1,0,0.36,0.12,0.48,0.36,0.48,Matches
Waldemar Anton\Waldemar-Anton,de GER,DF,Hannover 96,22,1996,34,34,3060,34,1,0,1,0,0,4,0,0.03,0,0.03,0.03,0.03,Matches
Dennis Aogo\Dennis-Aogo,de GER,MF,Stuttgart,31,1987,15,13,1025,11.4,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,29,1989,24,22,1891,21,2,7,2,0,0,3,0,0.1,0.33,0.43,0.1,0.43,Matches
Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,24,1994,33,33,2872,31.9,2,6,2,0,0,7,0,0.06,0.19,0.25,0.06,0.25,Matches
Takuma Asano\Takuma-Asano,jp JPN,MFFW,Hannover 96,23,1994,13,9,699,7.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Stuttgart,21,1997,27,27,2428,27,0,0,0,0,0,10,1,0,0,0,0,0,Matches
Simon Asta\Simon-Asta,de GER,DF,Augsburg,17,2001,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,RB Leipzig,21,1997,17,4,461,5.1,3,0,3,0,0,0,0,0.59,0,0.59,0.59,0.59,Matches
Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,24,1994,34,34,3026,33.6,1,4,1,0,0,5,0,0.03,0.12,0.15,0.03,0.15,Matches
Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Düsseldorf,23,1994,28,28,2449,27.2,4,1,4,0,0,10,0,0.15,0.04,0.18,0.15,0.18,Matches
Florian Baak\Florian-Baak,de GER,MF,Hertha BSC,19,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Holger Badstuber\Holger-Badstuber,de GER,DF,Stuttgart,29,1989,10,5,522,5.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Daniel Baier\Daniel-Baier,de GER,MF,Augsburg,34,1984,33,33,2815,31.3,0,1,0,0,0,7,0,0,0.03,0.03,0,0.03,Matches
Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,20,1997,29,21,1914,21.3,5,1,5,0,0,4,0,0.24,0.05,0.28,0.24,0.28,Matches
Marvin Bakalorz\Marvin-Bakalorz,de GER,MF,Hannover 96,28,1989,25,16,1470,16.3,1,0,1,0,0,5,0,0.06,0,0.06,0.06,0.06,Matches
Ridle Baku\Ridle-Baku,de GER,MF,Mainz 05,20,1998,15,10,937,10.4,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Philipp Bargfrede\Philipp-Bargfrede,de GER,MFDF,Werder Bremen,29,1989,15,13,1079,12,0,0,0,0,0,6,0,0,0,0,0,0,Matches
Aymen Barkok\Aymen-Barkok,ma MAR,MF,Düsseldorf,20,1998,12,4,510,5.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,18,2000,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Fin Bartels\Fin-Bartels,de GER,FW,Werder Bremen,31,1987,2,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Robert Bauer\Robert-Bauer,de GER,DF,Nürnberg,23,1995,22,19,1722,19.1,0,0,0,0,0,4,1,0,0,0,0,0,Matches
Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,28,1990,33,33,2970,33,0,1,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
Timo Baumgartl\Timo-Baumgartl,de GER,DF,Stuttgart,22,1996,18,18,1620,18,1,0,1,0,0,2,0,0.06,0,0.06,0.06,0.06,Matches
Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,Leverkusen,30,1988,21,16,1559,17.3,0,1,0,0,0,2,0,0,0.06,0.06,0,0.06,Matches
Christoph Baumgartner\Christoph-Baumgartner,at AUT,MF,Hoffenheim,18,1999,2,1,85,0.9,0,0,0,0,0,2,1,0,0,0,0,0,Matches
Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,ng NGA,FW,Hannover 96,21,1996,3,3,155,1.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ihlas Bebou\Ihlas-Bebou,tg TOG,FWMF,Hannover 96,24,1994,12,12,1066,11.8,4,3,3,1,1,1,0,0.34,0.25,0.59,0.25,0.51,Matches
Uffe Bech\Uffe-Bech,dk DEN,FW,Hannover 96,25,1993,2,0,19,0.2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Andreas Beck\Andreas-Beck,de GER,DFMF,Stuttgart,31,1987,24,21,1776,19.7,0,2,0,0,0,2,0,0,0.1,0.1,0,0.1,Matches
