Player,Nation,Pos,Squad,Age,Born,MP,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Issah Abbas\Issah-Abbas,gh GHA,DFFW,Mainz 05,22-215,1998,2,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,34-288,1986,14,1222,13.6,1,0,1,0,0,5,1,0.07,0,0.07,0.07,0.07,Matches
Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,31-033,1990,5,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ragnar Ache\Ragnar-Ache,de GER,FWMF,Eint Frankfurt,22-275,1998,5,83,0.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,22-074,1999,27,1850,20.6,1,1,1,0,0,3,0,0.05,0.05,0.1,0.05,0.1,Matches
Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,27-341,1993,15,262,2.9,1,2,1,0,0,0,0,0.34,0.69,1.03,0.34,1.03,Matches
Felix Agu\Felix-Agu,de GER,DF,Werder Bremen,21-214,1999,14,689,7.7,1,0,1,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches
Naouirou Ahamada\Naouirou-Ahamada,fr FRA,MF,Stuttgart,19-031,2002,5,220,2.4,0,0,0,0,0,1,1,0,0,0,0,0,Matches
Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,25-284,1995,25,2108,23.4,2,0,2,0,0,4,0,0.09,0,0.09,0.09,0.09,Matches
Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,26-010,1995,14,1029,11.4,0,0,0,0,0,1,0,0,0,0,0,0,Matches
David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,28-309,1992,29,2454,27.3,2,2,2,0,0,3,0,0.07,0.07,0.15,0.07,0.15,Matches
Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,28-203,1992,25,1245,13.8,11,2,9,2,2,2,0,0.8,0.14,0.94,0.65,0.8,Matches
Omar Alderete\Omar-Alderete,py PAR,DF,Hertha BSC,24-124,1996,14,1029,11.4,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Nadiem Amiri\Nadiem-Amiri,de GER,MF,Leverkusen,24-184,1996,27,1813,20.1,2,6,2,0,0,4,0,0.1,0.3,0.4,0.1,0.4,Matches
Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Köln,29-288,1991,13,906,10.1,2,0,1,1,1,0,0,0.2,0,0.2,0.1,0.1,Matches
Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,26-219,1994,28,2436,27.1,5,2,5,0,0,4,1,0.18,0.07,0.26,0.18,0.26,Matches
Angeliño\Angelino,es ESP,DFFW,RB Leipzig,24-115,1997,24,2042,22.7,4,4,4,0,0,2,0,0.18,0.18,0.35,0.18,0.35,Matches
Waldemar Anton\Waldemar-Anton,de GER,DF,Stuttgart,24-283,1996,28,2441,27.1,0,1,0,0,0,3,0,0,0.04,0.04,0,0.04,Matches
Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,32-012,1989,19,1491,16.6,0,0,0,0,0,4,0,0,0,0,0,0,Matches
