Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Valencia,26,1989,13,9,882,9.8,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Antonio Adán\Antonio-Adan,es ESP,GK,Betis,29,1987,37,37,3330,37,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,35,1981,32,27,2417,26.9,16,5,11,5,5,8,2,0.6,0.19,0.78,0.41,0.6,Matches
Akram Afif\Akram-Afif,qa QAT,MF,Sporting Gijón,19,1996,9,2,236,2.6,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Rachid Aït-Atmane\Rachid-Ait-Atmane,dz ALG,MF,Sporting Gijón,23,1993,8,6,492,5.5,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Javi Álamo\Javi-Alamo,es ESP,FWMF,Osasuna,27,1988,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,27,1989,26,21,1969,21.9,1,5,1,0,0,4,0,0.05,0.23,0.27,0.05,0.27,Matches
Raúl Albentosa\Raul-Albentosa,es ESP,DF,La Coruña,27,1988,27,26,2336,26,1,1,1,0,0,10,1,0.04,0.04,0.08,0.04,0.08,Matches
Paco Alcácer\Paco-Alcacer,es ESP,FW,Valencia,22,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Paco Alcácer\Paco-Alcacer,es ESP,FW,Barcelona,22,1993,20,6,866,9.6,6,3,6,0,0,1,0,0.62,0.31,0.94,0.62,0.94,Matches
Álex Alegría\Alex-Alegria,es ESP,FW,Betis,23,1992,25,15,1440,16,3,2,3,0,0,2,0,0.19,0.12,0.31,0.19,0.31,Matches
Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,18,1998,3,0,45,0.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Alexander\Alexander,ar ARG,MF,Leganés,27,1988,28,24,2022,22.5,8,2,7,1,1,1,0,0.36,0.09,0.45,0.31,0.4,Matches
Alexis\Alexis,es ESP,DF,Alavés,30,1985,24,19,1821,20.2,2,1,2,0,0,11,2,0.1,0.05,0.15,0.1,0.15,Matches
