Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Aly Abeid\Aly-Abeid,mr MTN,DF,Levante,19,1997,1,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.19,0.19,0,0.19,Matches
Antonio Adán\Antonio-Adan,es ESP,GK,Betis,30,1987,30,30,2700,30,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.4,0.4,0,0.01,0.01,0,0.01,Matches
Aday\Aday,es ESP,DFMF,Girona,29,1987,31,20,1840,20.4,2,0,1,1,2,10,0,0.1,0,0.1,0.05,0.05,2.6,1.1,1.8,2.9,0.13,0.09,0.21,0.06,0.14,Matches
Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,36,1981,33,21,2155,23.9,9,3,6,3,5,5,0,0.38,0.13,0.5,0.25,0.38,10.6,7.1,1.1,8.1,0.44,0.04,0.49,0.3,0.34,Matches
Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,21,1996,21,20,1827,20.3,0,4,0,0,0,4,0,0,0.2,0.2,0,0.2,0,0,1.2,1.2,0,0.06,0.06,0,0.06,Matches
Imanol Agirretxe\Imanol-Agirretxe,es ESP,FW,Real Sociedad,30,1987,11,2,238,2.6,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,0.1,1.2,0.47,0.03,0.5,0.47,0.5,Matches
Matías Aguirregaray\Matias-Aguirregaray,uy URU,DF,Las Palmas,28,1989,15,14,1152,12.8,0,0,0,0,0,3,0,0,0,0,0,0,0.5,0.5,0.6,1,0.04,0.04,0.08,0.04,0.08,Matches
Ager Aketxe\Ager-Aketxe,es ESP,MF,Athletic Club,23,1993,3,0,41,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.23,0,0.23,0.23,0.23,Matches
David Alba\David-Alba,es ESP,DF,Getafe,18,1999,1,1,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,28,1989,33,30,2741,30.5,2,6,2,0,0,7,0,0.07,0.2,0.26,0.07,0.26,1.9,1.9,4.1,6,0.06,0.13,0.2,0.06,0.2,Matches
