Player,Nation,Pos,Squad,Age,Born,MP,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,21-353,1999,2,51,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marcos Acuña\Marcos-Acuna,ar ARG,DF,Sevilla,29-183,1991,26,2028,22.5,1,2,1,0,0,4,0,0.04,0.09,0.13,0.04,0.13,Matches
Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,22-074,1999,3,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,24-354,1996,22,1284,14.3,0,1,0,0,0,1,0,0,0.07,0.07,0,0.07,Matches
Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,25-212,1995,22,1131,12.6,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,28-048,1993,9,576,6.4,0,0,0,0,0,3,1,0,0,0,0,0,Matches
Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,23-130,1997,10,378,4.2,0,0,0,0,0,5,1,0,0,0,0,0,Matches
Jony Álamo\Jony-Alamo,es ESP,MF,Elche,19-216,2001,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,32-039,1989,29,2530,28.1,3,5,3,0,0,8,0,0.11,0.18,0.28,0.11,0.28,Matches
Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,35-237,1985,31,2755,30.6,0,0,0,0,0,7,0,0,0,0,0,0,Matches
Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,27-242,1993,23,1388,15.4,6,4,5,1,2,0,0,0.39,0.26,0.65,0.32,0.58,Matches
Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,32-041,1989,10,723,8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,29-363,1991,27,2020,22.4,1,0,1,0,0,9,0,0.04,0,0.04,0.04,0.04,Matches
Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,26-078,1995,19,593,6.6,1,1,1,0,0,4,0,0.15,0.15,0.3,0.15,0.3,Matches
Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,23-114,1998,2,48,0.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,23-114,1998,17,1089,12.1,1,2,1,0,0,1,0,0.08,0.17,0.25,0.08,0.25,Matches
Alfon\Alfon,es ESP,MF,Celta Vigo,21-360,1999,2,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,29-096,1992,25,1533,17,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,26-095,1995,20,1678,18.6,1,0,1,0,0,6,0,0.05,0,0.05,0.05,0.05,Matches
Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,gh GHA,DF,Getafe,19-160,2001,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jon Ander Garrido\Jon-Ander-Garrido,es ESP,MF,Cádiz,31-202,1989,19,687,7.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
