Player,Nation,Pos,Squad,Age,Born,MP,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Ismael Aaneba\Ismael-Aaneba,fr FRA,FWDF,Strasbourg,21-336,1999,2,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,33-214,1987,30,2700,30,3,0,3,0,0,4,0,0.1,0,0.1,0.1,0.1,Matches
Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,28-267,1992,18,1320,14.7,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Laurent Abergel\Laurent-Abergel,fr FRA,MF,Lorient,28-088,1993,34,2603,28.9,3,1,3,0,0,5,0,0.1,0.03,0.14,0.1,0.14,Matches
Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,21-018,2000,21,813,9,3,2,3,0,0,1,0,0.33,0.22,0.55,0.33,0.55,Matches
Matthis Abline\Matthis-Abline,fr FRA,FW,Rennes,18-033,2003,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Pape Abou Cisse\Pape-Abou-Cisse,sn SEN,DF,Saint-Étienne,25-228,1995,12,1080,12,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Yacine Adli\Yacine-Adli,fr FRA,MF,Bordeaux,20-275,2000,31,2074,23,1,5,1,0,0,6,0,0.04,0.22,0.26,0.04,0.26,Matches
Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Rennes,25-031,1996,31,2790,31,3,1,3,0,0,4,0,0.1,0.03,0.13,0.1,0.13,Matches
Ruben Aguilar\Ruben-Aguilar,fr FRA,DF,Monaco,28-004,1993,30,2048,22.8,1,3,1,0,0,6,0,0.04,0.13,0.18,0.04,0.18,Matches
Matteo Ahlinvi\Matteo-Ahlinvi,bj BEN,MF,Nîmes,21-302,1999,16,811,9,2,0,2,0,0,0,0,0.22,0,0.22,0.22,0.22,Matches
Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,sn SEN,FW,Marseille,21-038,2000,3,119,1.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,27-041,1994,2,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,27-041,1994,24,1899,21.1,2,2,2,0,0,8,0,0.09,0.09,0.19,0.09,0.19,Matches
Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,19-328,2001,3,187,2.1,0,1,0,0,0,0,0,0,0.48,0.48,0,0.48,Matches
Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,27-064,1994,31,2607,29,13,4,9,4,5,5,0,0.45,0.14,0.59,0.31,0.45,Matches
Marley Aké\Marley-Ake,fr FRA,FW,Marseille,20-115,2001,9,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,22-275,1998,21,1460,16.2,0,2,0,0,0,4,0,0,0.12,0.12,0,0.12,Matches
Mohamed Ali Cho\Mohamed-Ali-Cho,fr FRA,FWMF,Angers,17-101,2004,17,299,3.3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,28-316,1992,1,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Saturnin Allagbé\Saturnin-Allagbe,bj BEN,GK,Dijon,27-159,1993,8,720,8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Angers,28-024,1993,23,1491,16.6,0,0,0,0,0,6,0,0,0,0,0,0,Matches
Romain Amalfitano\Romain-Amalfitano,fr FRA,FWDF,Dijon,31-246,1989,2,116,1.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,27-052,1994,11,740,8.2,1,0,1,0,0,3,1,0.12,0,0.12,0.12,0.12,Matches
Thierry Ambrose\Thierry-Ambrose,fr FRA,FW,Metz,24-033,1997,19,562,6.2,0,1,0,0,0,2,0,0,0.16,0.16,0,0.16,Matches
Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,24-334,1996,3,192,2.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Benjamin André\Benjamin-Andre,fr FRA,MF,Lille,30-270,1990,32,2643,29.4,0,1,0,0,0,9,0,0,0.03,0.03,0,0.03,Matches
Victorien Angban\Victorien-Angban,ci CIV,MF,Metz,24-213,1996,25,1649,18.3,0,1,0,0,0,5,0,0,0.05,0.05,0,0.05,Matches
Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,22-304,1998,26,1577,17.5,5,3,3,2,2,2,1,0.29,0.17,0.46,0.17,0.34,Matches
