Player,Nation,Pos,Squad,Age,Born,MP,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Dijon,28,1987,18,1314,14.6,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,23,1992,28,2374,26.4,3,2,3,0,0,8,0,0.11,0.08,0.19,0.11,0.19,Matches
Geoffrey Acheampong\Geoffrey-Acheampong,gh GHA,MF,Bastia,19,1997,2,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jordan Adéoti\Jordan-Adeoti,bj BEN,DF,Caen,27,1989,27,2120,23.6,0,1,0,0,0,3,0,0,0.04,0.04,0,0.04,Matches
Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Nancy,20,1996,26,1930,21.4,3,1,3,0,0,3,0,0.14,0.05,0.19,0.14,0.19,Matches
Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,DFMF,Toulouse,23,1992,2,73,0.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Alexis Alegue\Alexis-Alegue,fr FRA,FW,Nantes,19,1996,2,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Romain Alessandrini\Romain-Alessandrini,fr FRA,FWMF,Marseille,27,1989,6,241,2.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Jérémie Aliadière\Jeremie-Aliadiere,fr FRA,FW,Lorient,33,1983,13,487,5.4,1,2,1,0,0,0,0,0.18,0.37,0.55,0.18,0.55,Matches
Júnior Alonso\Junior-Alonso,py PAR,DF,Lille,23,1993,12,959,10.7,0,1,0,0,0,1,0,0,0.09,0.09,0,0.09,Matches
Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Lille,23,1993,35,2952,32.8,1,0,1,0,0,4,0,0.03,0,0.03,0.03,0.03,Matches
Morgan Amalfitano\Morgan-Amalfitano,fr FRA,MFFW,Lille,31,1985,17,733,8.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Morgan Amalfitano\Morgan-Amalfitano,fr FRA,MF,Rennes,31,1985,6,401,4.5,1,0,1,0,0,0,0,0.22,0,0.22,0.22,0.22,Matches
Romain Amalfitano\Romain-Amalfitano,fr FRA,MF,Dijon,26,1989,26,1418,15.8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,18,1998,22,1776,19.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,25,1990,36,3215,35.7,0,3,0,0,0,6,0,0,0.08,0.08,0,0.08,Matches
Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,27,1989,16,1367,15.2,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Benjamin Angoua\Benjamin-Angoua,ci CIV,DF,Guingamp,29,1986,7,538,6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Houssem Aouar\Houssem-Aouar,fr FRA,FW,Lyon,18,1998,3,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Bordeaux,20,1995,4,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,23,1993,15,1297,14.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Fernando Aristeguieta\Fernando-Aristeguieta,ve VEN,FW,Nantes,24,1992,5,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sylvain Armand\Sylvain-Armand,fr FRA,DF,Rennes,35,1980,1,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Benoît Assou-Ekotto\Benoit-Assou-Ekotto,cm CMR,DF,Metz,32,1984,18,1479,16.4,0,1,0,0,0,1,3,0,0.06,0.06,0,0.06,Matches
Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,Paris S-G,19,1997,10,196,2.2,1,2,1,0,0,0,0,0.46,0.92,1.38,0.46,1.38,Matches
Serge Aurier\Serge-Aurier,ci CIV,DF,Paris S-G,23,1992,22,1829,20.3,0,3,0,0,0,4,2,0,0.15,0.15,0,0.15,Matches
Ludovic Baal\Ludovic-Baal,gf GUF,DFMF,Rennes,30,1986,33,2880,32,0,4,0,0,0,3,1,0,0.12,0.12,0,0.12,Matches
Loic Badiashile\Loic-Badiashile,fr FRA,GK,Monaco,18,1998,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tobias Badila\Tobias-Badila,cg CGO,DF,Nancy,23,1993,26,2252,25,1,0,1,0,0,7,0,0.04,0,0.04,0.04,0.04,Matches
Dylan Bahamboula\Dylan-Bahamboula,cg CGO,FW,Dijon,21,1995,11,526,5.8,1,0,1,0,0,1,0,0.17,0,0.17,0.17,0.17,Matches
Farès Bahlouli\Fares-Bahlouli,fr FRA,MF,Lille,21,1995,3,98,1.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Monaco,21,1994,32,2223,24.7,2,1,2,0,0,2,1,0.08,0.04,0.12,0.08,0.12,Matches
Iván Balliu\Ivan-Balliu,al ALB,DF,Metz,24,1992,27,2331,25.9,0,4,0,0,0,4,0,0,0.15,0.15,0,0.15,Matches
Florent Balmont\Florent-Balmont,fr FRA,MF,Dijon,36,1980,23,1714,19,0,2,0,0,0,7,0,0,0.11,0.11,0,0.11,Matches
Mario Balotelli\Mario-Balotelli,it ITA,FW,Nice,25,1990,23,1741,19.3,15,1,12,3,4,6,4,0.78,0.05,0.83,0.62,0.67,Matches
Abdoulaye Bamba\Abdoulaye-Bamba,ci CIV,DF,Angers,26,1990,8,593,6.6,0,1,0,0,0,2,0,0,0.15,0.15,0,0.15,Matches
Jonathan Bamba\Jonathan-Bamba,fr FRA,FW,Angers,20,1996,16,833,9.3,3,2,3,0,0,0,0,0.32,0.22,0.54,0.32,0.54,Matches
Yacine Bammou\Yacine-Bammou,ma MAR,FWMF,Nantes,24,1991,32,1778,19.8,4,3,4,0,0,7,0,0.2,0.15,0.35,0.2,0.35,Matches
Maxime Barthelmé\Maxime-Barthelme,fr FRA,FWMF,Lorient,27,1988,9,327,3.6,0,1,0,0,0,1,0,0,0.28,0.28,0,0.28,Matches
Marko Ba_a\Marko-Basa,me MNE,DF,Lille,33,1982,23,1949,21.7,1,0,1,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
Nicolas Basin\Nicolas-Basin,fr FRA,DF,Metz,18,1998,1,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Amine Bassi\Amine-Bassi,fr FRA,MF,Nancy,18,1997,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Éric Bauthéac\Eric-Bautheac,fr FRA,MFFW,Lille,28,1987,13,725,8.1,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Paul Baysse\Paul-Baysse,fr FRA,DF,Nice,28,1988,22,1858,20.6,2,1,2,0,0,1,0,0.1,0.05,0.15,0.1,0.15,Matches
Hervé Bazile\Herve-Bazile,ht HAI,MFFW,Caen,26,1990,19,732,8.1,2,2,2,0,0,1,0,0.25,0.25,0.49,0.25,0.49,Matches
Henri Bedimo\Henri-Bedimo,cm CMR,DF,Marseille,32,1984,16,1173,13,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Jérémie Bela\Jeremie-Bela,ao ANG,MFFW,Dijon,23,1993,14,375,4.2,0,1,0,0,0,0,0,0,0.24,0.24,0,0.24,Matches
Younès Belhanda\Younes-Belhanda,ma MAR,FWMF,Nice,26,1990,31,2541,28.2,3,5,3,0,0,8,1,0.11,0.18,0.28,0.11,0.28,Matches
François Bellugou\Francois-Bellugou,fr FRA,MFDF,Lorient,29,1987,26,1422,15.8,0,0,0,0,0,5,1,0,0,0,0,0,Matches
Anthony Belmonte\Anthony-Belmonte,fr FRA,MF,Dijon,20,1995,8,261,2.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Hatem Ben Arfa\Hatem-Ben-Arfa,fr FRA,MFFW,Paris S-G,29,1987,23,643,7.1,0,1,0,0,0,1,0,0,0.14,0.14,0,0.14,Matches
Issam Ben Khémis\Issam-Ben-Khemis,tn TUN,MF,Lorient,20,1996,2,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Syam Ben Youssef\Syam-Ben-Youssef,tn TUN,DF,Caen,27,1989,17,1293,14.4,0,0,0,0,0,6,0,0,0,0,0,0,Matches
Nicolas Benezet\Nicolas-Benezet,fr FRA,FW,Guingamp,25,1991,5,169,1.9,1,1,1,0,0,0,0,0.53,0.53,1.07,0.53,1.07,Matches
Pierre Bengtsson\Pierre-Bengtsson,se SWE,DFMF,Bastia,28,1988,30,2626,29.2,1,1,1,0,0,0,0,0.03,0.03,0.07,0.03,0.07,Matches
Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,23,1993,3,215,2.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ramy Bensebaini\Ramy-Bensebaini,dz ALG,DF,Rennes,21,1995,25,1838,20.4,0,0,0,0,0,4,2,0,0,0,0,0,Matches
Yassine Benzia\Yassine-Benzia,dz ALG,MF,Lille,21,1994,25,1627,18.1,3,3,2,1,1,3,0,0.17,0.17,0.33,0.11,0.28,Matches
Franck Béria\Franck-Beria,fr FRA,DF,Lille,33,1983,28,2326,25.8,1,0,1,0,0,7,2,0.04,0,0.04,0.04,0.04,Matches
Robert Beri_\Robert-Beric,si SVN,FW,Saint-Étienne,25,1991,22,1444,16,6,0,6,0,1,0,0,0.37,0,0.37,0.37,0.37,Matches
