Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,DF,Strasbourg,19,1999,3,3,204,2.3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.5,0.5,0,0.2,0.2,0,0.2,Matches
2,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,30,1987,38,38,3420,38,0,0,0,0,0,2,0,0,0,0,0,0,1.8,1.8,0.1,1.8,0.05,0,0.05,0.05,0.05,Matches
3,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,25,1992,26,23,2023,22.5,3,0,2,1,1,6,0,0.13,0,0.13,0.09,0.09,3.1,2.3,1.5,3.8,0.14,0.06,0.2,0.1,0.17,Matches
4,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,18,2000,3,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.45,0,0.45,0.45,0.45,Matches
5,Khaled Adénon\Khaled-Adenon,bj BEN,DF,Amiens,33,1985,23,22,1994,22.2,0,0,0,0,0,7,1,0,0,0,0,0,0.9,0.9,0.1,0.9,0.04,0,0.04,0.04,0.04,Matches
6,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,18,2000,7,2,216,2.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9,0.9,0.01,0.38,0.39,0.01,0.39,Matches
7,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,22,1996,13,12,1050,11.7,3,0,3,0,0,4,1,0.26,0,0.26,0.26,0.26,1.5,1.5,0.1,1.6,0.13,0,0.14,0.13,0.14,Matches
8,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFMF,Montpellier,25,1993,29,29,2528,28.1,1,4,1,0,0,8,0,0.04,0.14,0.18,0.04,0.18,0.7,0.7,3.2,3.9,0.03,0.11,0.14,0.03,0.14,Matches
9,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,24,1994,17,12,1075,11.9,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,0.6,0.6,0.2,0.8,0.05,0.01,0.07,0.05,0.07,Matches
10,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Monaco,22,1996,13,12,1073,11.9,0,2,0,0,0,2,0,0,0.17,0.17,0,0.17,0.4,0.4,1,1.4,0.03,0.08,0.11,0.03,0.11,Matches
11,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Saint-Étienne,22,1996,13,11,936,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.7,0.02,0.04,0.06,0.02,0.06,Matches
12,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,17,2001,3,0,57,0.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
13,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,24,1994,25,18,1531,17,9,1,9,0,0,5,0,0.53,0.06,0.59,0.53,0.59,5.8,5.8,1,6.8,0.34,0.06,0.4,0.34,0.4,Matches
14,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,20,1998,25,23,1895,21.1,1,0,1,0,0,4,0,0.05,0,0.05,0.05,0.05,0.6,0.6,1.8,2.4,0.03,0.09,0.11,0.03,0.11,Matches
15,Alexis Alegue\Alexis-Alegue,fr FRA,FW,Nantes,21,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
16,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,23,1995,25,25,2250,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
17,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Nîmes,26,1992,27,11,1252,13.9,5,0,5,0,0,1,0,0.36,0,0.36,0.36,0.36,5.3,5.3,1.2,6.5,0.38,0.09,0.47,0.38,0.47,Matches
18,Bobby Allain\Bobby-Allain,fr FRA,GK,Dijon,26,1991,13,13,1170,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
19,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,29,1989,11,6,571,6.3,1,0,1,0,0,0,0,0.16,0,0.16,0.16,0.16,0.3,0.3,0.4,0.7,0.04,0.07,0.11,0.04,0.11,Matches
20,Dani Alves\Dani-Alves,br BRA,MFDF,Paris S-G,35,1983,23,19,1622,18,1,7,1,0,0,4,0,0.06,0.39,0.44,0.06,0.44,2.2,2.2,7,9.2,0.12,0.39,0.51,0.12,0.51,Matches
21,Romain Amalfitano\Romain-Amalfitano,fr FRA,MFFW,Dijon,28,1989,32,30,2522,28,0,0,0,0,0,3,1,0,0,0,0,0,0.6,0.6,0.9,1.6,0.02,0.03,0.06,0.02,0.06,Matches
22,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,24,1994,28,24,2177,24.2,0,2,0,0,0,7,2,0,0.08,0.08,0,0.08,0.6,0.6,1.9,2.5,0.02,0.08,0.1,0.02,0.1,Matches
23,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,20,1998,32,32,2880,32,0,1,0,0,0,6,0,0,0.03,0.03,0,0.03,0.5,0.5,0.7,1.2,0.02,0.02,0.04,0.02,0.04,Matches
