Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DFMF,Sunderland,25,1990,21,20,1784,19.8,3,1,3,0,0,2,0,0.15,0.05,0.2,0.15,0.2,Matches
Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DFMF,Crystal Palace,25,1990,11,8,714,7.9,2,0,2,0,0,1,0,0.25,0,0.25,0.25,0.25,Matches
Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,30,1985,24,17,1517,16.9,1,3,0,1,1,7,0,0.06,0.18,0.24,0,0.18,Matches
Albert Adomah\Albert-Adomah,gh GHA,MF,Middlesbrough,28,1987,2,1,122,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Adrián\Adrian,es ESP,GK,West Ham,29,1987,16,16,1440,16,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,30,1986,12,3,384,4.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Benik Afobe\Benik-Afobe,cd COD,FW,Bournemouth,23,1993,31,14,1461,16.2,6,3,6,0,1,1,0,0.37,0.18,0.55,0.37,0.55,Matches
Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,28,1988,31,25,2403,26.7,20,4,16,4,5,4,1,0.75,0.15,0.9,0.6,0.75,Matches
Dan Agyei\Dan-Agyei,eng ENG,FW,Burnley,19,1997,3,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ola Aina\Ola-Aina,ng NGA,DFMF,Chelsea,19,1996,3,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,21,1995,10,8,735,8.2,3,0,3,0,0,0,0,0.37,0,0.37,0.37,0.37,Matches
Nathan Aké\Nathan-Ake,nl NED,DF,Chelsea,21,1995,2,1,99,1.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,26,1989,33,29,2411,26.8,2,6,2,0,0,5,0,0.07,0.22,0.3,0.07,0.3,Matches
Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,27,1989,30,30,2601,28.9,1,0,1,0,0,1,0,0.03,0,0.03,0.03,0.03,Matches
Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,MFDF,Liverpool,17,1998,7,2,167,1.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,26,1990,36,34,2930,32.6,6,2,6,0,0,9,0,0.18,0.06,0.25,0.18,0.25,Matches
Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,20,1996,37,35,3034,33.7,18,7,17,1,1,4,0,0.53,0.21,0.74,0.5,0.71,Matches
Ryan Allsop\Ryan-Allsop,eng ENG,GK,Bournemouth,24,1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marcos Alonso\Marcos-Alonso,es ESP,MF,Chelsea,25,1990,31,30,2693,29.9,6,3,6,0,0,2,0,0.2,0.1,0.3,0.2,0.3,Matches
Daniel Amartey\Daniel-Amartey,gh GHA,MF,Leicester City,21,1994,24,17,1673,18.6,1,1,1,0,0,3,0,0.05,0.05,0.11,0.05,0.11,Matches
Jordi Amat\Jordi-Amat,es ESP,DF,Swansea City,24,1992,17,15,1409,15.7,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Nordin Amrabat\Nordin-Amrabat,ma MAR,MFFW,Watford,29,1987,29,25,2091,23.2,0,3,0,0,0,4,0,0,0.13,0.13,0,0.13,Matches
Victor Anichebe\Victor-Anichebe,ng NGA,FWMF,Sunderland,28,1988,18,14,1219,13.5,3,0,3,0,0,2,0,0.22,0,0.22,0.22,0.22,Matches
Michail Antonio\Michail-Antonio,eng ENG,MFFW,West Ham,26,1990,29,29,2434,27,9,3,9,0,0,5,2,0.33,0.11,0.44,0.33,0.44,Matches
Ikechi Anya\Ikechi-Anya,sco SCO,FWMF,Watford,28,1988,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Álvaro Arbeloa\Alvaro-Arbeloa,es ESP,DF,West Ham,33,1983,3,1,258,2.9,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Scott Arfield\Scott-Arfield,ca CAN,MF,Burnley,27,1988,31,23,2102,23.4,1,1,1,0,0,3,0,0.04,0.04,0.09,0.04,0.09,Matches
Marko Arnautovi?\Marko-Arnautovic,at AUT,MFFW,Stoke City,27,1989,32,32,2714,30.2,6,5,6,0,1,9,1,0.2,0.17,0.36,0.2,0.36,Matches
Harry Arter\Harry-Arter,ie IRL,MF,Bournemouth,26,1989,35,33,2957,32.9,1,3,1,0,1,12,2,0.03,0.09,0.12,0.03,0.12,Matches
