Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,26,1990,28,25,2184,24.3,5,1,5,0,0,7,0,0.21,0.04,0.25,0.21,0.25,3.1,3.1,1.5,4.5,0.13,0.06,0.19,0.13,0.19,Matches
Rolando Aarons\Rolando-Aarons,eng ENG,FWMF,Newcastle Utd,21,1995,4,1,139,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.11,0,0.11,0.11,0.11,Matches
Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,19,1997,31,15,1726,19.2,5,1,5,0,0,0,0,0.26,0.05,0.31,0.26,0.31,6.3,6.3,0.7,7,0.33,0.04,0.36,0.33,0.36,Matches
Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,31,1985,11,5,411,4.6,0,0,0,0,1,2,1,0,0,0,0,0,1.4,0.7,1.3,1.9,0.31,0.28,0.59,0.15,0.42,Matches
Adrián\Adrian,es ESP,GK,West Ham,30,1987,19,19,1710,19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,31,1986,6,1,166,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Benik Afobe\Benik-Afobe,cd COD,FWMF,Bournemouth,24,1993,17,5,611,6.8,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4,0.1,1.5,0.23,0.01,0.24,0.23,0.24,Matches
Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,29,1988,25,22,1963,21.8,21,6,17,4,4,2,0,0.96,0.28,1.24,0.78,1.05,16.6,13.6,5.9,19.5,0.76,0.27,1.03,0.62,0.89,Matches
Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,22,1995,38,37,3353,37.3,2,3,2,0,0,5,0,0.05,0.08,0.13,0.05,0.13,2.5,2.5,1.8,4.3,0.07,0.05,0.11,0.07,0.11,Matches
Marc Albrighton\Marc-Albrighton,eng ENG,MFFW,Leicester City,27,1989,34,30,2538,28.2,2,7,2,0,0,5,1,0.07,0.25,0.32,0.07,0.32,1.4,1.4,4.8,6.2,0.05,0.17,0.22,0.05,0.22,Matches
Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,28,1989,14,13,1178,13.1,0,0,0,0,0,3,0,0,0,0,0,0,0.6,0.6,0.3,0.9,0.05,0.02,0.07,0.05,0.07,Matches
Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,19,18,1573,17.5,1,1,1,0,0,3,0,0.06,0.06,0.11,0.06,0.11,1,1,2.1,3.1,0.06,0.12,0.18,0.06,0.18,Matches
Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,27,1990,36,36,3139,34.9,2,6,2,0,0,8,0,0.06,0.17,0.23,0.06,0.23,2.4,2.4,2.6,5,0.07,0.07,0.14,0.07,0.14,Matches
Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,21,1996,36,34,2958,32.9,9,10,9,0,0,7,0,0.27,0.3,0.58,0.27,0.58,9.3,9.3,7.9,17.1,0.28,0.24,0.52,0.28,0.52,Matches
Marcos Alonso\Marcos-Alonso,es ESP,DFMF,Chelsea,26,1990,33,33,2855,31.7,7,2,7,0,0,6,0,0.22,0.06,0.28,0.22,0.28,4.1,4.1,2.3,6.4,0.13,0.07,0.2,0.13,0.2,Matches
Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,22,1994,8,6,487,5.4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,Chelsea,16,2000,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nordin Amrabat\Nordin-Amrabat,ma MAR,FW,Watford,30,1987,3,3,198,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.02,0.06,0.08,0.02,0.08,Matches
Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,27,1990,21,16,1354,15,3,1,3,0,0,1,0,0.2,0.07,0.27,0.2,0.27,2.4,2.4,0.6,2.9,0.16,0.04,0.2,0.16,0.2,Matches
Scott Arfield\Scott-Arfield,ca CAN,FWMF,Burnley,28,1988,18,15,1333,14.8,2,1,2,0,0,3,0,0.14,0.07,0.2,0.14,0.2,1.2,1.2,0.5,1.6,0.08,0.03,0.11,0.08,0.11,Matches
Marko Arnautovi?\Marko-Arnautovic,at AUT,FWMF,West Ham,28,1989,31,28,2313,25.7,11,6,11,0,0,5,1,0.43,0.23,0.66,0.43,0.66,9.9,9.9,4.4,14.3,0.39,0.17,0.56,0.39,0.56,Matches
Harry Arter\Harry-Arter,ie IRL,MF,Bournemouth,27,1989,13,11,960,10.7,1,0,1,0,0,4,0,0.09,0,0.09,0.09,0.09,0.5,0.5,0.2,0.7,0.05,0.02,0.07,0.05,0.07,Matches
Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,25,1992,28,19,1784,19.8,2,2,2,0,0,1,0,0.1,0.1,0.2,0.1,0.2,3.3,3.3,2.7,6,0.17,0.14,0.3,0.17,0.3,Matches
