Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,29,1986,23,22,1924,21.4,0,2,0,0,0,2,0,0,0.09,0.09,0,0.09,Matches
Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Sassuolo,28,1988,38,38,3420,38,4,0,3,1,1,2,0,0.11,0,0.11,0.08,0.08,Matches
Maxwell Acosty\Maxwell-Acosty,gh GHA,MFFW,Crotone,24,1991,11,3,378,4.2,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Torino,24,1992,20,13,1077,12,2,0,2,0,0,5,6,0.17,0,0.17,0.17,0.17,Matches
Claud Adjapong\Claud-Adjapong,it ITA,DFFW,Sassuolo,18,1998,9,6,510,5.7,1,0,1,0,0,3,0,0.18,0,0.18,0.18,0.18,Matches
Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,DFMF,Udinese,22,1993,14,8,872,9.7,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Luiz Adriano\Luiz-Adriano,br BRA,FW,Milan,29,1987,7,1,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MF,Udinese,25,1990,29,20,2033,22.6,0,3,0,0,0,2,0,0,0.13,0.13,0,0.13,Matches
Arlind Ajeti\Arlind-Ajeti,al ALB,DF,Torino,22,1993,4,3,251,2.8,1,0,1,0,0,1,0,0.36,0,0.36,0.36,0.36,Matches
Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,23,1992,9,4,365,4.1,1,2,1,0,0,0,0,0.25,0.49,0.74,0.25,0.74,Matches
Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,30,1985,26,25,2297,25.5,0,1,0,0,0,8,0,0,0.04,0.04,0,0.04,Matches
Haitam Aleesami\Haitam-Aleesami,no NOR,MFDF,Palermo,25,1991,31,29,2630,29.2,1,3,1,0,0,6,0,0.03,0.1,0.14,0.03,0.14,Matches
Allan\Allan,br BRA,MF,Napoli,25,1991,29,19,1610,17.9,1,6,1,0,0,3,0,0.06,0.34,0.39,0.06,0.39,Matches
Marcos Alonso\Marcos-Alonso,es ESP,MF,Fiorentina,25,1990,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ricky Álvarez\Ricky-Alvarez,ar ARG,MF,Sampdoria,28,1988,21,11,987,11,2,2,2,0,0,3,1,0.18,0.18,0.36,0.18,0.36,Matches
Bruno Alves\Bruno-Alves,pt POR,DF,Cagliari,34,1981,36,36,3240,36,1,0,1,0,0,5,1,0.03,0,0.03,0.03,0.03,Matches
Dani Alves\Dani-Alves,br BRA,DFMF,Juventus,33,1983,19,15,1359,15.1,2,3,2,0,0,5,0,0.13,0.2,0.33,0.13,0.33,Matches
Felipe Anderson\Felipe-Anderson,br BRA,FWMF,Lazio,23,1993,36,33,2908,32.3,4,8,3,1,1,5,0,0.12,0.25,0.37,0.09,0.34,Matches
Marco Andreolli\Marco-Andreolli,it ITA,DF,Inter,30,1986,6,4,362,4,1,0,1,0,0,0,0,0.25,0,0.25,0.25,0.25,Matches
Gabriele Angella\Gabriele-Angella,it ITA,DFMF,Udinese,27,1989,14,10,1017,11.3,1,0,1,0,0,3,0,0.09,0,0.09,0.09,0.09,Matches
Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DF,Inter,29,1986,21,17,1500,16.7,0,1,0,0,0,9,2,0,0.06,0.06,0,0.06,Matches
Luca Antei\Luca-Antei,it ITA,DF,Sassuolo,24,1992,15,11,1114,12.4,1,0,1,0,0,4,0,0.08,0,0.08,0.08,0.08,Matches
Luca Antonelli\Luca-Antonelli,it ITA,DF,Milan,29,1987,7,3,309,3.4,0,1,0,0,0,1,0,0,0.29,0.29,0,0.29,Matches
Siniša An?elkovi?\Sinisa-Andjelkovic,si SVN,DF,Palermo,30,1986,22,21,1836,20.4,0,1,0,0,0,3,0,0,0.05,0.05,0,0.05,Matches
Carlos Apna Embaló\Carlos-Apna-Embalo,gw GNB,FWMF,Palermo,21,1994,12,8,621,6.9,0,1,0,0,0,0,0,0,0.14,0.14,0,0.14,Matches
Alberto Aquilani\Alberto-Aquilani,it ITA,MF,Sassuolo,32,1984,16,14,1237,13.7,0,1,0,0,0,3,0,0,0.07,0.07,0,0.07,Matches
Alberto Aquilani\Alberto-Aquilani,it ITA,MFFW,Pescara,32,1984,9,6,551,6.1,1,1,1,0,0,2,2,0.16,0.16,0.33,0.16,0.33,Matches
Mattia Aramu\Mattia-Aramu,it ITA,FW,Torino,21,1995,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Pablo Armero\Pablo-Armero,co COL,DF,Udinese,29,1986,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DFMF,Juventus,27,1988,18,16,1472,16.4,0,1,0,0,0,2,0,0,0.06,0.06,0,0.06,Matches
Davide Astori\Davide-Astori,it ITA,DF,Fiorentina,29,1987,33,33,2967,33,2,0,2,0,0,12,2,0.06,0,0.06,0.06,0.06,Matches
Emil Audero\Emil-Audero,it ITA,GK,Juventus,19,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Danilo Avelar\Danilo-Avelar,br BRA,DF,Torino,27,1989,3,3,262,2.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Mame Baba Thiam\Mame-Baba-Thiam,sn SEN,FW,Empoli,23,1992,15,9,876,9.7,1,1,1,0,0,1,0,0.1,0.1,0.21,0.1,0.21,Matches
Khouma Babacar\Khouma-Babacar,sn SEN,FW,Fiorentina,23,1993,22,13,1326,14.7,10,1,9,1,1,0,0,0.68,0.07,0.75,0.61,0.68,Matches
Carlos Bacca\Carlos-Bacca,co COL,FW,Milan,29,1986,32,26,2112,23.5,13,3,9,4,6,3,0,0.55,0.13,0.68,0.38,0.51,Matches
Milan Badelj\Milan-Badelj,hr CRO,MF,Fiorentina,27,1989,33,29,2508,27.9,2,2,2,0,0,9,0,0.07,0.07,0.14,0.07,0.14,Matches
Jean-Christophe Bahebeck\Jean-Christophe-Bahebeck,fr FRA,FW,Pescara,23,1993,15,11,815,9.1,4,1,4,0,0,0,0,0.44,0.11,0.55,0.44,0.55,Matches
Keita Baldé\Keita-Balde,sn SEN,FW,Lazio,21,1995,31,21,1926,21.4,16,4,14,2,2,5,2,0.75,0.19,0.93,0.65,0.84,Matches
Andrija Bali?\Andrija-Balic,hr CRO,MFFW,Udinese,18,1997,4,3,239,2.7,1,0,1,0,0,1,0,0.38,0,0.38,0.38,0.38,Matches
Norbert Balogh\Norbert-Balogh,hu HUN,MFFW,Palermo,20,1996,16,6,532,5.9,0,0,0,0,0,2,2,0,0,0,0,0,Matches
Éver Banega\Ever-Banega,ar ARG,MF,Inter,28,1988,28,20,1555,17.3,6,6,6,0,0,3,2,0.35,0.35,0.69,0.35,0.69,Matches
Federico Barba\Federico-Barba,it ITA,DF,Empoli,22,1993,11,9,812,9,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Andrea Barberis\Andrea-Barberis,it ITA,MF,Crotone,22,1993,26,23,2059,22.9,0,3,0,0,0,3,0,0,0.13,0.13,0,0.13,Matches
Gabriel Barbosa\Gabriel-Barbosa,br BRA,FWMF,Inter,19,1996,9,0,120,1.3,1,0,1,0,0,3,0,0.75,0,0.75,0.75,0.75,Matches
Nicolò Barella\Nicolo-Barella,it ITA,MF,Cagliari,19,1997,28,22,1908,21.2,0,1,0,0,0,10,2,0,0.05,0.05,0,0.05,Matches
Antonio Barreca\Antonio-Barreca,it ITA,DF,Torino,21,1995,28,25,2362,26.2,0,2,0,0,0,2,0,0,0.08,0.08,0,0.08,Matches
Édgar Barreto\Edgar-Barreto,py PAR,MF,Sampdoria,32,1984,32,32,2679,29.8,2,0,2,0,0,4,1,0.07,0,0.07,0.07,0.07,Matches
Andrea Barzagli\Andrea-Barzagli,it ITA,DF,Juventus,35,1981,23,17,1532,17,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Daniele Baselli\Daniele-Baselli,it ITA,MF,Torino,24,1992,37,28,2288,25.4,6,5,6,0,0,6,0,0.24,0.2,0.43,0.24,0.43,Matches
Dušan Basta\Dusan-Basta,rs SRB,DFMF,Lazio,31,1984,27,24,2120,23.6,1,2,1,0,0,2,0,0.04,0.08,0.13,0.04,0.13,Matches
Samuel Bastien\Samuel-Bastien,be BEL,MFFW,Chievo,19,1996,12,8,799,8.9,1,0,1,0,0,0,0,0.11,0,0.11,0.11,0.11,Matches
Alessandro Bastoni\Alessandro-Bastoni,it ITA,DF,Atalanta,17,1999,3,1,155,1.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Bastos\Bastos,ao ANG,DFMF,Lazio,25,1991,11,10,774,8.6,0,0,0,0,0,5,2,0,0,0,0,0,Matches
Andrea Beghetto\Andrea-Beghetto,it ITA,MF,Genoa,21,1994,3,1,152,1.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Giuseppe Bellusci\Giuseppe-Bellusci,it ITA,DF,Empoli,26,1989,33,33,2970,33,1,0,1,0,0,15,0,0.03,0,0.03,0.03,0.03,Matches
Andrea Belotti\Andrea-Belotti,it ITA,FW,Torino,22,1993,35,34,3070,34.1,26,7,24,2,2,5,0,0.76,0.21,0.97,0.7,0.91,Matches
Ahmad Benali\Ahmad-Benali,ly LBY,FWMF,Pescara,24,1992,33,31,2490,27.7,6,2,6,0,0,5,2,0.22,0.07,0.29,0.22,0.29,Matches
Marco Benassi\Marco-Benassi,it ITA,MF,Torino,21,1994,28,24,2044,22.7,5,3,5,0,0,5,0,0.22,0.13,0.35,0.22,0.35,Matches
Medhi Benatia\Medhi-Benatia,ma MAR,DF,Juventus,29,1987,15,14,1179,13.1,1,0,1,0,0,3,0,0.08,0,0.08,0.08,0.08,Matches
Accursio Bentivegna\Accursio-Bentivegna,it ITA,MFFW,Palermo,20,1996,3,2,89,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Domenico Berardi\Domenico-Berardi,it ITA,FW,Sassuolo,21,1994,21,20,1732,19.2,5,9,3,2,3,6,0,0.26,0.47,0.73,0.16,0.62,Matches
Bartosz Bereszy?ski\Bartosz-Bereszynski,pl POL,DF,Sampdoria,24,1992,13,11,1051,11.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Etrit Berisha\Etrit-Berisha,al ALB,GK,Atalanta,27,1989,26,26,2340,26,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Federico Bernardeschi\Federico-Bernardeschi,it ITA,MFFW,Fiorentina,22,1994,32,27,2292,25.5,11,4,8,3,4,5,1,0.43,0.16,0.59,0.31,0.47,Matches
Andrea Bertolacci\Andrea-Bertolacci,it ITA,MF,Milan,25,1991,15,9,820,9.1,1,0,1,0,0,3,0,0.11,0,0.11,0.11,0.11,Matches
Jonathan Biabiany\Jonathan-Biabiany,fr FRA,FWMF,Inter,28,1988,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Roberto Biancu\Roberto-Biancu,it ITA,MF,Cagliari,16,2000,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lucas Biglia\Lucas-Biglia,ar ARG,MF,Lazio,30,1986,29,28,2264,25.2,4,3,1,3,5,8,0,0.16,0.12,0.28,0.04,0.16,Matches
Davide Biondini\Davide-Biondini,it ITA,MF,Sassuolo,33,1983,14,9,854,9.5,0,1,0,0,0,6,0,0,0.11,0.11,0,0.11,Matches
Cristiano Biraghi\Cristiano-Biraghi,it ITA,DF,Pescara,23,1992,35,33,2987,33.2,1,4,0,1,2,11,0,0.03,0.12,0.15,0,0.12,Matches
Davide Biraschi\Davide-Biraschi,it ITA,DFMF,Genoa,22,1994,7,4,395,4.4,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Valter Birsa\Valter-Birsa,si SVN,MFFW,Chievo,29,1986,35,34,2761,30.7,7,9,7,0,0,5,0,0.23,0.29,0.52,0.23,0.52,Matches
Luca Bittante\Luca-Bittante,it ITA,DF,Cagliari,22,1993,5,3,312,3.5,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Albano Bizzarri\Albano-Bizzarri,ar ARG,GK,Pescara,38,1977,29,29,2610,29,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Giacomo Bonaventura\Giacomo-Bonaventura,it ITA,MFFW,Milan,26,1989,19,19,1566,17.4,3,3,3,0,0,3,0,0.17,0.17,0.34,0.17,0.34,Matches
Leonardo Bonucci\Leonardo-Bonucci,it ITA,DF,Juventus,29,1987,29,26,2409,26.8,3,0,3,0,0,5,0,0.11,0,0.11,0.11,0.11,Matches
Marco Borriello\Marco-Borriello,it ITA,FW,Cagliari,34,1982,36,30,2589,28.8,16,2,15,1,2,4,0,0.56,0.07,0.63,0.52,0.59,Matches
Ouasim Bouy\Ouasim-Bouy,nl NED,DFMF,Palermo,23,1993,2,0,40,0.4,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Cesare Bovo\Cesare-Bovo,it ITA,DF,Pescara,33,1983,10,9,819,9.1,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Cesare Bovo\Cesare-Bovo,it ITA,DF,Torino,33,1983,4,4,360,4,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Lucas Boyé\Lucas-Boye,ar ARG,FWMF,Torino,20,1996,30,14,1458,16.2,0,3,0,0,0,5,0,0,0.19,0.19,0,0.19,Matches
