Player,Nation,Pos,Squad,Age,Born,MP,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Gennaro Acampora\Gennaro-Acampora,it ITA,MFFW,Spezia,27-032,1994,12,420,4.7,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,33-079,1988,29,2547,28.3,0,1,0,0,0,5,0,0,0.04,0.04,0,0.04,Matches
Andrea Adorante\Andrea-Adorante,it ITA,FW,Parma,21-084,2000,1,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lucien Agoume\Lucien-Agoume,fr FRA,MF,Spezia,19-080,2002,11,730,8.1,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Kevin Agudelo\Kevin-Agudelo,co COL,FW,Spezia,22-167,1998,24,1160,12.9,1,0,1,0,0,3,0,0.08,0,0.08,0.08,0.08,Matches
Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,MFFW,Lazio,28-201,1992,26,852,9.5,0,1,0,0,0,8,0,0,0.11,0.11,0,0.11,Matches
Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,28-214,1992,29,2193,24.4,8,1,8,0,0,4,0,0.33,0.04,0.37,0.33,0.37,Matches
Bruno Alves\Bruno-Alves,pt POR,DF,Parma,39-154,1981,16,1362,15.1,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Fiorentina,24-252,1996,28,2243,24.9,0,0,0,0,0,7,0,0,0,0,0,0,Matches
Djavan Anderson\Djavan-Anderson,nl NED,DF,Lazio,26-009,1995,3,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Udinese,33-018,1988,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,it ITA,DF,Atalanta,19-318,2001,1,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Philip Ankhrah\Philip-Ankhrah,gh GHA,MF,Hellas Verona,18-215,2002,1,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DF,Torino,34-222,1986,25,1462,16.2,1,4,0,1,1,1,0,0.06,0.25,0.31,0,0.25,Matches
Valentin Antov\Valentin-Antov,bg BUL,DF,Bologna,20-172,2000,4,198,2.2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Tolgay Arslan\Tolgay-Arslan,de GER,MF,Udinese,30-257,1990,28,1665,18.5,3,0,3,0,0,8,0,0.16,0,0.16,0.16,0.16,Matches
Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Cagliari,32-142,1988,6,184,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kristoffer Askildsen\Kristoffer-Askildsen,no NOR,MF,Sampdoria,20-111,2001,5,84,0.9,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,24-102,1997,33,2970,33,0,1,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
Tommaso Augello\Tommaso-Augello,it ITA,DF,Sampdoria,26-243,1994,32,2766,30.7,1,3,1,0,0,2,1,0.03,0.1,0.13,0.03,0.13,Matches
